original,original
#Archetype Classes,#Classes de Arquetipo
Cleric,Clerigo
The Cleric offers close-range support to their party through close ranged buffs and restorative spells,O Clerigo oferece suporte de curto alcance ao seu grupo por meio de melhorias proximas e feiticos de restauracao
Magos,Magos
"The Magos is a ranged strikers that can cast powerful, and often destructive, spells",O Magos e um atacante a distancia que pode conjurar feiticos poderosos e frequentemente destrutivos
Rogue,Ladino
The Rogue combines important non-combat skills with a large damage output against single targets,O Ladino combina habilidades importantes fora de combate com um grande potencial de dano contra alvos individuais
Wanderer,Andarilho
Warrior,Guerreiro
A Warrior is a front-line fighter who can take and deal large amounts of damage,Um Guerreiro e um combatente de linha de frente que pode receber e causar grandes quantidades de dano
#Classes,#Classes
Armsmaster,Mestre de Armas
The Armsmaster is a Warrior that does not have a specialized Feat Tree,O Mestre de Armas e um Guerreiro que nao possui uma Arvore de Talentos especializada
Instead the Armsmaster has access to all the combat-centered Feat Trees and they start with extra Development Points to represent their martial expertise,Em vez disso o Mestre de Armas tem acesso a todas as Arvores de Talentos centradas em combate e comeca com Pontos de Desenvolvimento adicionais para representar sua experiencia marcial
Bard,Bardo
The Bard mixes the Rogue’s decent combat skills and high maneuverability with the use of arcane magic,O Bardo mistura as boas habilidades de combate e a alta manobrabilidade do Ladino com o uso de magia arcana
Battlemagos,Magos de Batalla
The Battlemagos is a Magos specializing in the destructive spells of the Fire Magic School,O Magos de Batalla e um Magos especializado nos feiticos destrutivos da Escola de Magia do Fogo
"Unlike other Magi, they also get access to a few basic combat-related Feats and may wear light armor","Ao contrario de outros Magos, eles tambem ganham acesso a alguns Talentos basicos relacionados ao combate e podem usar armadura leve"
Berserker,Berserker
Champion,Campeao
The Champion is a Cleric who excels in the use of blades and armor whilst still having limited divine spell-casting abilities,O Campeao e um Clerigo que se destaca no uso de laminas e armaduras embora ainda tenha habilidades limitadas de conjuracao divina
Duelist,Duelista
Guild-Magos,Magos da Guilda
A Guild-Magos is a spellcaster who can develop all the different Arcane Spell Schools fully,Um Magos da Guilda e um conjurador que pode desenvolver totalmente todas as diferentes Escolas de Magia Arcana
This comes at the cost of having absolutely no combat related Feats,Isso vem ao custo de nao possuir absolutamente nenhum Talento relacionado ao combate
Hierophant,Hierofante
A Hierophant is a Cleric who can develop all the different Divine Spell Schools fully,Um Hierofante e um Clerigo que pode desenvolver totalmente todas as diferentes Escolas de Magia Divina
Hospitaller,Hospitalario
The Hospitaller is a Cleric who serves as a front line healer,O Hospitalario e um Clerigo que atua como curandeiro de linha de frente
"Well armed and armored, they can stand their ground against overwhelming foes whilst also getting access to the highest tiers of the Body Magic School","Bem armados e protegidos, eles podem manter sua posicao contra inimigos avassaladores enquanto tambem ganham acesso aos niveis mais altos da Escola de Magia Corporal"
Inquisitor,Inquisidor
Officer,Oficial
The Officer is a skilled warrior who serves as a force multiplier through their tactical skills,O Oficial e um guerreiro habilidoso que atua como um multiplicador de forca por meio de suas habilidades taticas
"Issuing orders across the battlefield, they vastly improve the performance of their fellow party-members","Emitindo ordens pelo campo de batalha, eles melhoram drasticamente o desempenho dos seus companheiros de grupo"
Ranger,Patrulheiro
The Ranger is a Warrior specializing in ranged combat and with access to limited nature magic,O Patrulheiro e um Guerreiro especializado em combate a distancia e com acesso a magia da natureza limitada
Skald,Escaldo
Sorcerer,Feiticeiro
Thief,Ladrao
The Thief is a Rogue who uses Stealth to set up devestating Backstab attacks,O Ladrao e um Ladino que usa Furtividade para preparar ataques devastadores de Apunhalada pelas Costas
#NPC Classes,#Classes de NPCs
Archer,Arqueiro
Beast,Bestia
Agile Beast,Bestia Agil
Savage Beast,Bestia Selvagem
Common Beast,Bestia Comun
Lesser Vermin,Pragas Menores
Tough Beast,Bestia Resistente
Vermin,Pragas
Resolute Beast,Bestia Resoluta
Bravo,Bravo
Brute,Bruto
"Magi are ranged strikers that can cast powerful, destructive ranged spells",Os Magos sao atacantes a distancia que podem conjurar feiticos a distancia poderosos e destrutivos
Commoner,Plebeu
Laborer,Trabalhador
Noble,Nobre
Tough Warrior,Guerreiro Resistente
Fighter,Combatente
Wretch,Miseravel
