original,original
Victory!,Vitoria!
Combat!,Combate!
There are no enemies. Press ENTER to leave combat!,Nao ha inimigos. Pressione ENTER para sair do combate
Auto-resolving round!,Auto-resolvendo rodada!
Press any key to stop!,Pressione qualquer tecla para parar!
The combatants stare at each other from across the battlefield,Os combatentes se encaram de lados opostos do campo de batalha
The party has been attacked!,O grupo foi atacado!
Prepare for combat!,Prepare-se para o combate!
REMEMBER: You can press RETURN on your turn to auto-resolve combat!,LEMBRE-SE: Voce pode pressionar ENTER no seu turno para auto-resolver o combate
Round,Rodada
Deploy Your Party!,Posicione o seu Grupo!
Begin Combat!,Iniciar Combate!
Deploy your party and press {ITEM},Posicione seu grupo e pressione {ITEM}
Deploy Party,Posicionar Grupo
Out of range,Fora de alcance
Pass turn and defend,Passar turno e defender
Open the current character's Inventory,Abrir o Inventario do personagem atual
Hold action until end of turn,Segurar acao ate o fim do turno
Slashing Damage,Dano Cortante
Bloodied!,Ensanguentado!
Charge {ITEM},Carregar {ITEM}
Select an Item to use,Selecione um Item para usar
View combat log,Ver registro de combate
Repeat last action,Repetir ultima acao
No Maneuvers to perform,Nenhuma Manobra para realizar
No spells available,Nenhum feitico disponivel
Perform attack,Realizar ataque
Select a Maneuver to perform,Selecione uma Manobra para realizar
Fire-Spit,Cuspe de Fogo
Electric Damage,Dano Eletrico
Fire Damage,Dano de Fogo
Mercenary begun,Mercenario iniciado
An option!,Uma opcao!
Critical Hit!,Acerto Critico!
