original,original
Picked up,Coletado
Something just struck the ship!,Algo acabou de atingir o navio!
Locked!,Trancado!
Equipped {ITEM},Equipado {ITEM}
Unequipped {ITEM},Desequipado {ITEM}
I spotted something!,Eu avistei algo!
You add,Voce adiciona
to your party,ao seu grupo
is now leading the party!,esta liderando o grupo!
Game Saved,Jogo Salvo
I don't see any enemies!,Nao vejo nenhum inimigo!
Picked up some items,Coletou alguns itens
Cannot use a ranged weapon in melee,Nao e possivel usar uma arma a distancia no corpo a corpo
It's too dark to make out anything!,Esta escuro demais para enxergar qualquer coisa!
Used {ITEM},Usou {ITEM}
Crafted,Criado
Can't be far now?,Nao deve estar longe agora?
Added Ability,Habilidade Adicionada
