original,translation
#Chapter 0,#Capitulo 0
Man Over Board,Homem ao Mar
Roland fell overboard,Roland caiu por terra
An Old Boar,Um Velho Javali
"I encountered one of my father’s old friends, Kydeon, at the Berryn estate","Encontrei um dos velhos amigos do meu pai, Kydeon, na propriedade Berryn"
It was good to see the old boar again,Foi bom ver o velho javali de novo
Waking up,Despertar
I woke up in the hold of the Zephyr to find something is wrong on the ship,Acordei no porao do Zefiro para descobrir que algo esta errado no navio
#Chapter 1,#Capitulo 1
A Foul Cave,Uma Caverna Nojenta
I discovered a cave near the spot where I landed on Idra,Descobri uma caverna perto do local onde desembarquei em Idra
A foul stench of rotting flesh and seaweed lies thick inside,Um fedor nauseante de carne podre e algas flutua denso la dentro
Driina the Sepulchite,Driina a Sepulchita
I was joined by a Sepulchite cleric by the name Driina,Fui acompanhado por uma cleriga Sepulchita chamada Driina
She intends to search for a way into the city of Horryn which has apparently been overrun by cultists,Ela pretende buscar uma maneira de entrar na cidade de Horryn que aparentemente foi invadida por cultistas
"Before we leave the camp, she insists we make a stop by the camp’s de-facto leader","Antes de deixarmos o acampamento, ela insiste que facamos uma parada no lider de facto do acampamento"
Someone named Markus who is holed up in a stable nearby,Alguem chamado Markus que esta escondido em um estabulo proximo
A Floating Corpse,Um Cadaver Flutuante
I found a lost soul in the underwater cave system under the lighthouse,Encontrei uma alma perdida no sistema de cavernas subaquaticas sob o farol
The poor wretch must have gotten lost in the darkness and drowned,O pobre coitado deve ter se perdido na escuridao e se afogado
I must take care I do not share his fate,Devo tomar cuidado para nao ter o mesmo destino
There was a key on the corpse,Havia uma chave no cadaver
Embla in Horryn,Embla em Horryn
"Frantzo the former innkeeper just told me that Embla stayed at his inn in Horryn in the days leading up to the calamities that saw the city overrun","Frantzo, o antigo estalajadeiro, acabou de me dizer que Embla ficou em sua estalagem em Horryn nos dias que antecederam as calamidades que devastaram a cidade"
The Gates are Sealed,As Portas Estao Seladas
I searched for a way into Horryn but had little luck,Busquei uma maneira de entrar em Horryn mas tive pouca sorte
"For now, it seems I must carve out some other way of surviving on this barren island until an opportunity presents itself","Por enquanto, parece que devo encontrar outra maneira de sobreviver nesta ilha esteril ate que uma oportunidade apareca"
"Till then, the island no doubt overflows with desperate wretches in need of assistance","Ate la, a ilha sem duvida transborda de coitados desesperados precisando de assistencia"
"Till then, Driina suggests we must return to the refugee camp and do all we can to aid them in their desperate plight","Ate la, Driina sugere que devemos retornar ao acampamento de refugiados e fazer tudo o que pudermos para ajuda-los em sua situacao desesperadora"
A Ritual Dagger,Uma Daga Ritualistica
I recovered a strange dagger of indeterminate age from the underwater caves beneath the lighthouse on Idra,Recuperei uma daga estranha de idade indeterminada nas cavernas subaquaticas sob o farol em Idra
It appears to have been a form of ritual implement and I suspect it might still hold both significance and power,Parece ter sido uma especie de instrumento ritual e suspeito que ainda possa ter significado e poder
Astronomer's Journal,Diario do Astronomo
I found a strange journal that seems to have belonged to an Imperial astronomer,Encontrei um diario estranho que parece ter pertencido a um astronomo imperial
"It appears the poor man felt the stars are somehow ""wrong"" after spotting a strange star-cluster in the southeastern quadrant","Parece que o pobre homem sentia que as estrelas estavam de alguma forma erradas depois de avistar um aglomerado estelar estranho no quadrante sudeste"
A Feast for Lizards,Um Banquete para Lagartos
I found scraps of rotting flesh in the lizard-cave on Idra,Encontrei restos de carne podre na caverna dos lagartos em Idra
I wonder if the reptiles would gorge themselves if they had more flesh?,Pergunto-me se os repteis se fartariam se tivessem mais carne?
Goat Gold,Ouro de Cabra
"Jakub the farmer, paid me a small bribe to keep quiet about his hidden goats","Jakub, o fazendeiro, me pagou um pequeno suborno para ficar quieto sobre suas cabras escondidas"
Jakub is Done Talking,Jakub Nao Quer Mais Conversa
"Jakub, the Idran goat farmer, has made it clear he has nothing more to say regarding the issue of his hidden goats","Jakub, o criador de cabras de Idra, deixou claro que nao tem mais nada a dizer sobre a questao de suas cabras escondidas"
The Gravedigger,O Coveiro
I met a poor fellow outside the Idran refugee camp,Conheci um pobre coitado do lado de fora do acampamento de refugiados de Idra
Ha had the thankless task of burying dead refugees,Ele tinha a ingrata tarefa de enterrar os refugiados mortos
I offered to help him before the horrid entities that roam the island made short work of him,Ofereci ajuda antes que as entidades horriveis que rondam a ilha dessem um fim nele
"Needless to say, he didn’t think twice","Nem precisa dizer que ele nao pensou duas vezes"
The Hidden Glen,O Vale Escondido
I learned the way to a hidden glen near the refugee camp on Idra,Descobri o caminho para um vale escondido perto do acampamento de refugiados em Idra
The best way to get there is to find and follow the goat tracks behind the old goat enclosure on Jakub’s farm,A melhor maneira de chegar la e encontrar e seguir as pegadas de cabra atras do antigo cercado de cabras na fazenda de Jakub
A Survivor,Um Sobrevivente
I found a sailor named Andry cowering in the foul caves near my landing site on Idra,Encontrei um marinero chamado Andry encolhido nas cavernas nojentas perto do meu local de desembarque em Idra
He thanked me profusely for the help and made his way out to look for fellow survivors,Ele me agradeceu profusamente pela ajuda e seguiu seu caminho para procurar outros sobreviventes
The Lighthouse,O Farol
I made it to the lighthouse and met its keeper Mathias,Cheguei ao farol e conheci seu guardiao, Mathias
A haggard old fellow that had barricaded himself on the top floor of the structure,Um velho demacrado que tinha se barricado no ultimo andar da estrutura
