Core 1.0.7d,Core 1.0.7d
Spanish,Espanhol
stealth,sigilo
"Note that a turn does not progress until all the character’s pop-up text is gone, so adjusting this number will also adjust how quickly combat turns pass","Note que um turno nao progride ate que todo o texto de pop-up do personagem desapareca, portanto, ajustar esse numero tambem ajustara a rapidez com que os turnos de combate passam"
On,Ligado
If enabled it will use the game’s blended lighting system,Se ativado usara o sistema de iluminacao combinada do jogo
"This is what a quote looks like.","Assim e como uma citacao se parece."
Core 1.0.7d,Core 1.0.7d
Core 1.0.7d,Core 1.0.7d
vitality,vitalidade
salt,sal
noble,nobre
A member of the ‘old breed’  forged and tempered by the hardships of soldiering,Um membro da velha guarda forjado e temperado pelas dificuldades da vida militar
Spanish,Espanhol
stealth,sigilo
"Note that a turn does not progress until all the character’s pop-up text is gone, so adjusting this number will also adjust how quickly combat turns pass","Note que um turno nao progride ate que todo o texto de pop-up do personagem desapareca, portanto, ajustar esse numero tambem ajustara a rapidez com que os turnos de combate passam"
On,Ligado
TWO-HANDED INITIATE,INICIADO DE DUAS MAOS
You can't make camp on this map,Voce nao pode acampar neste mapa
HP,PV
Alerted,Alertado
Rabid Rat begun,Rato Raivoso iniciado
Saved,Salvo
Immune,Inmune
Gained,Ganhou
XP!,XP!
Let’s go,Vamos
SKALD Core 1.0.7d,SKALD Core 1.0.7d
Press TAB to exit or ESC to clear console,Pressione TAB para sair ou ESC para limpar o console
Some helpful commands,Alguns comandos uteis
heals the party fully - adds 1000 gold. - Wins any combat,cura o grupo totalmente - adiciona 1000 de ouro - ganha qualquer combate
crafting,artesanato
potatoes,batatas
perklin,perklin
Blunt Damage,Dano de Contusao
Aaron is occupied!,Aaron esta ocupado!
Key,chave
TWO-HANDER,DUAS MAOS
development points,pontos de desenvolvimento
I believe you - but my contract with these men does not mention your survival,Eu acredito em voce - mas meu contrato com esses homens nao menciona sua sobrevivencia
Some pierce straight through the deck - Others snap the masts like they were matchsticks,Alguns perfuram direto o conves - Outros quebram os mastros como se fossem palitos de fosforo
Berryn,Berryn
Save Game,Salvar Jogo
OVERWRITE,SOBREESCREVER
Type a name and press 'Save'!,Digite um nome e pressione Salvar!
Name must be between 3 and 60 characters long and must be a valid file-name,O nome deve ter entre 3 e 60 caracteres e deve ser un nome de arquivo valido
Come here whelp!,Venha aqui seu moleque!
will automatically,ira automaticamente
FAIL,FALHAR
this skill check due to having low Skill Score versus the Difficulty,neste teste de pericia por ter nivel de Pericia baixo contra a Dificuldade
Woof,Auau
I hear master Cato isn't seeing anyone,Ouvi dizer que o mestre Cato nao esta vendo ninguem
Sub-Quest Started,Sub-Missao Iniciada
Sub-Quest Failed,Sub-Missao Falhou
Quest Failed,Missao Falhou
Hard were the years that followed  the mercenary life is bloody and unforgiving,Duros foram os anos que se seguiram a vida mercenaria e sangrenta e implacavel
BERRYN,BERRYN
Achievement Unlocked,Conquista Desbloqueada
Fog and Rain Night,Noite de Nevoa e Chuva
Fog and Rain Day,Dia de Nevoa e Chuva
Water blocks your path!,A agua bloqueia o seu caminho!
Thief Feats,Talentos de Ladrao
Kat reaches Level,Kat alcanca o Nivel
Female Human,Humana Femea
Trinket,Baratja
reaches Level,alcanca o Nivel
This item cannot be used like this,Este item nao pode ser usado assim
You scale the wall,Voce escala a parede
Tonight's Meal,Refeicao de Hoje a Noite
Party's Food,Comida do Grupo
Activities,Atividades
Train,Treinar
Begin Rest,Comecar Descanso
Manage Party,Gerenciar Grupo
"0,03 lb","0,03 lb"
A Comfortable Camp,Um Acampamento Confortavel
Foggy Day,Dia de Nevoa
LORE 5+,CONHECIMENTO 5+
A LORE score of 5 or higher is required to succeed,Um nivel de CONHECIMENTO de 5 ou mais e necessario para ter sucesso
Lore (,Conhecimento (
) + Static Bonus (,) + Bonus Estatico (
does not beat Difficulty (,nao supera a Dificuldade (
STATIC TEST,TESTE ESTATICO
Ragnar only has a LORE score of,Ragnar tem apenas um nivel de CONHECIMENTO de
ration,racao
Next,Siguiente
Prev,Anterior
ROTCRAWLER INSECT,INSETO ROTCRAWLER
presence,presenca
Overcast Day,Dia Nublado
Giant Bat recovers from surprise!,Morcego Gigante se recupera da surpresa!
Disengages,Desengaja
Giant Bat Disengages,Morcego Gigante Desengaja
Miss,Erro
Masterwork Full Helmet of Crafting,Elmo Completo de Artesanato Obra-Prima
Masterwork Full Helmet of Crafting,Elmo Completo de Artesanato Obra-Prima
MASTERWORK FULL HELMET OF CRAFTING,ELMO COMPLETO DE ARTESANATO OBRA-PRIMA
Enchanted,Encantado
Save3 Ragnar 07.14.25 01.09.11_,Save3 Ragnar 07.14.25 01.09.11_
Save3 Ragnar 07.14.25 01.09.11,Save3 Ragnar 07.14.25 01.09.11
Giant Lee,Sanguessuga Gigante
Albino Le,Sanguessuga Albina
Select Ability!,Selecione a Habilidade!
Backstab!,Apunhalada pelas Costas!
#Afraid,#ComMedo
SAVE3 RAGNAR 07.14.25 01.09.11,SAVE3 RAGNAR 07.14.25 01.09.11
Save4 Ragnar 07.14.25 01.12.35_,Save4 Ragnar 07.14.25 01.12.35_
Save4 Ragnar 07.14.25 01.12.35,Save4 Ragnar 07.14.25 01.12.35
SAVE4 RAGNAR 07.14.25 01.12.35,SAVE4 RAGNAR 07.14.25 01.12.35
Are you sure you want to overwrite the following save,Tem certeza de que deseja sobrescrever o seguinte salvamento
Giant Cra,Caranguejo Gigante
Crab recovers from surprise!,Caranguejo se recupera da surpresa!
Ragnar is too hurt to force a lock,Ragnar esta muito ferido para arrombar uma fechadura
Necklace,Colar
You cannot make camp in this area,Voce nao pode acampar nesta area
"However, you can sleep in a bed if you can find one!","No entanto, voce pode dormir em uma cama se encontrar uma!"
Like I said gutting the bastard will go a long way towards setting things right,Como eu disse esfaquear o bastardo vai ajudar muito a consertar as coisas
Crab Disengages,Caranguejo Desengaja
is Flat-Footed,esta Desprevenido
A Rough Camp,Um Acampamento Improvisado
ACTIVITY,ATIVIDADE
The character attempts to instruct the party using their Lore skill,O personagem tenta instruir o grupo usando sua habilidade de Conhecimento
Success gives a small XP reward,O sucesso concede uma pequena recompensa de EXP
Kat must roll,Kat deve rolar
versus,contra
Ragnar must roll,Ragnar deve rolar
Forage,Forragear
The character has a chance to find some extra food depending on their Survival skill,O personagem tem a chance de encontrar comida extra dependendo de sua habilidade de Sobrevivencia
The food found cannot be consumed until the next rest period,A comida encontrada nao pode ser consumida ate o proximo periodo de descanso
Fletch,Fazer Flechas
The character has a chance to create a small number of Hunting Arrows depending on their Crafting skill,O personagem tem a chance de criar uma pequena quantidade de Flechas de Caca dependendo de sua habilidade de Artesanato
Entertain,Entreter
The character tries to lift their comrades' spirits using their Diplomacy skill,O personagem tenta animar seus companheiros usando sua habilidade de Diplomacia
Success adds the Motivated Condition to all party-members,O sucesso adiciona a Condicao Motivado a todos os membros do grupo
Camp activities begin,As atividades do acampamento comecam
Ragnar is too heavily wounded to work,Ragnar esta muito gravemente ferido para trabalhar
Kat is too hungry to work,Kat esta com muita fome para trabalhar
Z,Z
Z z,Z z
Z z Z,Z z Z
The party rested 8 hours and recovered partially,O grupo descansou 8 horas e se recuperou parcialmente
You rest for 8 hours,Voce descansa por 8 horas
Fix Rope,Fixar Corda
Foggy Night,Noite de Nevoa
Stars are birthed and die collapsing in on themselves in cataclysms that shake the very foundations of creation,Estrelas nascem e morrem desmoronando em si mesmas em cataclismos que abalam as proprias estruturas da criacao
on 2d6 to succeed on this,em 2d6 para ter sucesso nisso
You manage to descend the wall,Voce consegue descer a parede
Dire Houn,Cao Demoniaco
Spanish,Espanhol
stealth,sigilo
"Note that a turn does not progress until all the character’s pop-up text is gone, so adjusting this number will also adjust how quickly combat turns pass","Note que um turno nao progride ate que todo o texto de pop-up do personagem desapareca, portanto, ajustar esse numero tambem ajustara a rapidez com que os turnos de combate passam"
Ragnar,Ragnar
Auto_Save,Salvamento_Automatico
"For Sofie, Amalie and Kathrine","Para Sofie, Amalie e Kathrine"
WRITTEN AND DEVELOPED BY,ESCRITO E DESENVOLVIDO POR
Anders Lauridsen,Anders Lauridsen
PUBLISHED BY,PUBLICADO POR
Raw Fury,Raw Fury
WITH FINANCIAL SUPPORT FROM,COM O APOIO FINANCEIRO DE
Innovation Norway,Innovation Norway
Norwegian Film Institute,Norwegian Film Institute
PRODUCED BY,PRODUZIDO POR
Charles Livermore,Charles Livermore
Hendrik Richter,Hendrik Richter
Joel Sieh,Joel Sieh
Swen Vincke,Swen Vincke
Tom Jackson,Tom Jackson
ART,ARTE
Maarten Boot,Maarten Boot
Gustav Samuelson,Gustav Samuelson
John Henderson,John Henderson
Paolo Rathjen,Paolo Rathjen
Michael Stefanakis,Michael Stefanakis
Marco Pedrana,Marco Pedrana
Scott Hartill,Scott Hartill
Torgeir Fjereide,Torgeir Fjereide
Henning Ludvigsen,Henning Ludvigsen
KEY ART,ARTE PRINCIPAL
Tuandat Phan,Tuandat Phan
MUSIC,MUSICA
Romanus Surt,Romanus Surt
SOUND FX,EFEITOS SONOROS
Edwin Montgomery,Edwin Montgomery
ADDITIONAL WRITING,ESCRITA ADICIONAL
Rachael A Edwards,Rachael A Edwards
Danny Salfield Wadeson,Danny Salfield Wadeson
ADDITIONAL CODIING,PROGRAMACAO ADICIONAL
Ivan Gradecak,Ivan Gradecak
A special thanks to NAIVE,Um agradecimento especial a NAIVE
for their work on,por seu trabalho no
the Skald Trailer,Trailer de Skald
Robin Jonsson,Robin Jonsson
Oskar Gullstrand,Oskar Gullstrand
Simon Rudholm,Simon Rudholm
Jakob Oldenburg,Jakob Oldenburg
Cecilia Azout,Cecilia Azout
A special thanks to ARTISTRY,Um agradecimento especial a ARTISTRY
the Launch Trailer,pelo Trailer de Lancamento
Calle Norberg,Calle Norberg
John Persson,John Persson
CROWDFUNDERS,APOIADORES
DARK LORD TIER,NIVEL SENHOR DAS TREVAS
DEITY TIER,NIVEL DIVINDADE
Detocroix,Detocroix
PirateHeart,PirateHeart
Stefano Cinghialotto,Stefano Cinghialotto
Thomas Hays,Thomas Hays
IMPERATOR TIER,NIVEL IMPERADOR
Adam Burr,Adam Burr
Adam Trojanowski,Adam Trojanowski
Alex Rodriguez,Alex Rodriguez
Andrew Emau,Andrew Emau
Andrew Hurley,Andrew Hurley
Chris Bolin,Chris Bolin
Christian Turcic,Christian Turcic
Christopher J,Christopher J
Mallery,Mallery
Claudio Marro Filosa,Claudio Marro Filosa
Dan Spitzley,Dan Spitzley
David Cohn,David Cohn
David Youd,David Youd
Dominik Reichardt,Dominik Reichardt
Donald Gjoka,Donald Gjoka
Espen Kummeneje,Espen Kummeneje
Forrest Lowe,Forrest Lowe
fred.hiss,fred.hiss
General deFault,General deFault
GroovyDad and the Slap Me Some Skin Kids,GroovyDad and the Slap Me Some Skin Kids
Huffy,Huffy
Jaakko Kosola,Jaakko Kosola
Jan H,Jan H
Kruger,Kruger
Jarrod Kailef,Jarrod Kailef
Jeff Groetsema,Jeff Groetsema
Jon Birnbaum,Jon Birnbaum
josh.bartel,josh.bartel
Kurt K,Kurt K
Magnus Langseter,Magnus Langseter
Matt Barton,Matt Barton
Matt Shively,Matt Shively
Matthew Fitzgerald,Matthew Fitzgerald
mind,mind
pauloesquilo,pauloesquilo
Peter E,Peter E
Robert Schultz,Robert Schultz
Robert Vandeventer,Robert Vandeventer
Sanwei Wang,Sanwei Wang
Scotoma,Scotoma
Shawn McKee,Shawn McKee
Steffen Harders,Steffen Harders
Stephen Conley,Stephen Conley
travisyates,travisyates
Vincent Nix,Vincent Nix
Wittler,Wittler
Y,Y
K,K
Lee,Lee
HIGH WIZARD TIER,NIVEL ALTO MAGO
Alain Deschenes,Alain Deschenes
Alex Norton,Alex Norton
Andre Morais,Andre Morais
Andrew Brozek,Andrew Brozek
BacteriaMage,BacteriaMage
Camilla Lauridsen,Camilla Lauridsen
Carl Andersson,Carl Andersson
Chad Alexander,Chad Alexander
Chauncey Fannin,Chauncey Fannin
Chris Freeman,Chris Freeman
Chris Torrence,Chris Torrence
Damjan Mozetic,Damjan Mozetic
Dan Thoresen,Dan Thoresen
David Guiot,David Guiot
David LeCompte,David LeCompte
David Provost,David Provost
DeathKnight,DeathKnight
Larian,Larian
don,don
Eirik Heen,Eirik Heen
Eric LECLERC,Eric LECLERC
EudaemonicTonic,EudaemonicTonic
fandenivoldsk,fandenivoldsk
foboman,foboman
Frank 'Darthan Haj' Flury,Frank 'Darthan Haj' Flury
Frank Wolter,Frank Wolter
Games Dead LoL,Games Dead LoL
Gerald-Markus Zabos,Gerald-Markus Zabos
Grant Laird Jr,Grant Laird Jr
Henry Curley,Henry Curley
Hergon,Hergon
Insert Disk,Insert Disk
Istvan Seres,Istvan Seres
James Latzer,James Latzer
Jan Burda,Jan Burda
Jani Grondahl,Jani Grondahl
Janne Markkula,Janne Markkula
Jo Bjornar Hausnes,Jo Bjornar Hausnes
Joel Panadero Alcaide,Joel Panadero Alcaide
Jon Mines,Jon Mines
Juan Rodriguez Sabater,Juan Rodriguez Sabater
Kyle Good,Kyle Good
LP,LP
Luca,Luca
M.B,M.B
maik.dobbermann,maik.dobbermann
Margaret Anderson,Margaret Anderson
Mark Bauermeister,Mark Bauermeister
Mathias Luzius,Mathias Luzius
Michael Wolf,Michael Wolf
Mirko Koponen,Mirko Koponen
Nick Walton,Nick Walton
olpika,olpika
Pablo Giommi,Pablo Giommi
Peter Cutting,Peter Cutting
Pix,Pix
pongo,pongo
Rich,Rich
Rupert Fuller,Rupert Fuller
Rupert L,Rupert L
Ryan Waldron,Ryan Waldron
samuelschwager,samuelschwager
Stefan Kurz,Stefan Kurz
Steve Coltrin,Steve Coltrin
Tilmann Jakob,Tilmann Jakob
Todd Pollman,Todd Pollman
Tom Hoeppner,Tom Hoeppner
Viktor,Viktor
LORD OF THE REALM TIER,NIVEL SENHOR DO REINO
Ben B,Ben B
bpstrat,bpstrat
Bryan Pope,Bryan Pope
Christophe Chidoyan,Christophe Chidoyan
Constantin Arndt,Constantin Arndt
Cread Mefford,Cread Mefford
Daniel Bishop,Daniel Bishop
Daniel Hein,Daniel Hein
Dark Star,Dark Star
Ernst Krogtoft,Ernst Krogtoft
Gabor Lux,Gabor Lux
Haakon Jensen,Haakon Jensen
Jason Andrew George Bradwell,Jason Andrew George Bradwell
Jonathan Squyres,Jonathan Squyres
Joseph Rake,Joseph Rake
Joshua Lee,Joshua Lee
Justin Offermann,Justin Offermann
Kai R,Kai R
Hagen,Hagen
Kathrine,Kathrine
Kjetil Kristoffersen,Kjetil Kristoffersen
Kozelek,Kozelek
Milknorf,Milknorf
Na-cia Bell,Na-cia Bell
Peter Kessler,Peter Kessler
Polie D,Polie D
Richard Garriott,Richard Garriott
Simon,Simon
Theo Lane,Theo Lane
Thomas Jansen,Thomas Jansen
Walter Rafelsberger,Walter Rafelsberger
Wilhelm Feibel,Wilhelm Feibel
William Donnell,William Donnell
William Lee,William Lee
Xoel Rodriguez,Xoel Rodriguez
KNIGHT TIER,NIVEL CAVALEIRO
Workshop,Workshop
LLC,LLC
Abel Trespalacios,Abel Trespalacios
Alessandro,Alessandro
Alex Beattie,Alex Beattie
Alex Wayman,Alex Wayman
Andre Conde Morais,Andre Conde Morais
Andreas Vlcek,Andreas Vlcek
Anthony Tedesco,Anthony Tedesco
Arnaud Delbos,Arnaud Delbos
Benjamin Fett,Benjamin Fett
Brian Jepson,Brian Jepson
Bumvelcrow,Bumvelcrow
Cameron,Cameron
Carlton Doerner,Carlton Doerner
charis hoo,charis hoo
Chris Stillman,Chris Stillman
Christer Johannessen,Christer Johannessen
Christopher Hamilton,Christopher Hamilton
Christopher Mangum,Christopher Mangum
Christopher White,Christopher White
Chuck Haberl,Chuck Haberl
Corey Woodworth,Corey Woodworth
Daniel Schwen,Daniel Schwen
Darkless,Darkless
Dave Blazina,Dave Blazina
Dominik Božikovic,Dominik Božikovic
ebdholland,ebdholland
Edward Stembler,Edward Stembler
Entropy - Graywalkers supernatural RPG,Entropy - Graywalkers supernatural RPG
ericinexile,ericinexile
Evan Fedeli,Evan Fedeli
fbouvot,fbouvot
Felix Ungman,Felix Ungman
Gensous,Gensous
Godewijn,Godewijn
helgraf dragon,helgraf dragon
Ian McNamee,Ian McNamee
Imban,Imban
InBadPlace,InBadPlace
Iván Rodriguez Perales,Iván Rodriguez Perales
James Critcher,James Critcher
Janis Skuja,Janis Skuja
Jared Mathes,Jared Mathes
jellarinn,jellarinn
Jens,Jens
Jerome Pigeot,Jerome Pigeot
Jessy Greenland,Jessy Greenland
Jim Weil,Jim Weil
Joao Carlos Bastos,Joao Carlos Bastos
John Faulkenbury,John Faulkenbury
John Loner,John Loner
john mcshane,john mcshane
John-James Watkins-Field,John-James Watkins-Field
Jon Orris,Jon Orris
Jonny Ree,Jonny Ree
Joseph Naberhaus,Joseph Naberhaus
Joshua Pudney,Joshua Pudney
Joshua Sawyer,Joshua Sawyer
Joshua Steele,Joshua Steele
Julian Nicolas Treichel,Julian Nicolas Treichel
Kamil Betke,Kamil Betke
Kelvin Saggers,Kelvin Saggers
Ken Capelli,Ken Capelli
korotama,korotama
Lars Larson,Lars Larson
larsson.ellen86,larsson.ellen86
Lovro Skiljic,Lovro Skiljic
Lucas Moura,Lucas Moura
Lyman Green,Lyman Green
Magnus Osterlind,Magnus Osterlind
Marco Pomes,Marco Pomes
Marti Ijn,Marti Ijn
Matthew Beckham,Matthew Beckham
Matthew McDonald,Matthew McDonald
Maus Merryjest AGL589,Maus Merryjest AGL589
Mean774,Mean774
Michael Heck,Michael Heck
Michael Reilly,Michael Reilly
Michael Writer,Michael Writer
Mike Oxoft,Mike Oxoft
Miles Franklin Hamaker,Miles Franklin Hamaker
MR JAMES GIBBON,MR JAMES GIBBON
Nadia M,Nadia M
Neil Allain,Neil Allain
Neil Lalonde,Neil Lalonde
Obsidian Razor,Obsidian Razor
Oscar Panic Rosales,Oscar Panic Rosales
Patrick Davies,Patrick Davies
Paul Frayne,Paul Frayne
peacedog,peacedog
Rambutaan,Rambutaan
Ranger Joe,Ranger Joe
Re-Miel,Re-Miel
Richard I,Richard I
Rikkles,Rikkles
Robert Kelley,Robert Kelley
Robert W,Robert W
Kist,Kist
Ronald Utter,Ronald Utter
Shalashaskka,Shalashaskka
Shane Stacks,Shane Stacks
Stefan Eckert,Stefan Eckert
Stephane Cotichini,Stephane Cotichini
Stephen Sheahan,Stephen Sheahan
SupremeHentaiSensei,SupremeHentaiSensei
Svetlin Balcanski,Svetlin Balcanski
thylordroot,thylordroot
