original,original
#Armor,#Armadura
Heavy Armor Use,Uso de Armadura Pesada
Reduced the encumberance of the armor when using this type of armor,Reduz o estorvo da armadura ao usar este tipo de armadura
Light Armor Use,Uso de Armadura Leve
Mage Armor Use,Uso de Armadura de Mago
Medium Armor Use,Uso de Armadura Media
Shield Use,Uso de Escudo
Added to Dodge when using a shield,Adicionado a Esquiva ao usar um escudo
Unarmored Mastery,Maestria sem Armadura
Added to Dodge when unarmored,Adicionado a Esquiva quando sem armadura
#Combat Attributes,#Atributos de Combate
Crit Chance,Chance de Critico
Describes the percentage of Hits that are upgraded to Critical Hits,Descreve a porcentagem de acertos que sao aprimorados para Acertos Criticos
Melee Dmg,Dano Corpo a Corpo
A bonus that is added to the melee damage range based on the characters strength,Um bonus que e adicionado ao alcance do dano corpo a corpo baseado na forca do personagem
This is added to the current weapon's damage range for a total damage range,Isto e adicionado ao alcance de dano da arma atual para um alcance de dano total
Initiative,Iniciativa
Initiative determines who goes first in combat,A iniciativa determina quem age primeiro no combate
Melee To Hit,Acerto Corpo a Corpo
The character's skill at attacking with melee weapons,A habilidade do personagem em atacar com armas corpo a corpo
Determines hit chance,Determina a chance de acerto
Ranged To Hit,Acerto a Distancia
The characters skill at attacking with ranged weapons,La habilidad de los personajes para atacar con armas a distancia
#ConditionResistances,#ResistenciasDeCondicion
Blindness Resistance,Resistencia a la ceguera
Resistance to a condition represents the percentage chance to avoid contracting the condition,La resistencia a una enfermedad representa el porcentaje de probabilidad de evitar contraer la enfermedad
An attribute value of 100% or above means immunity to the condition in question,Un valor de atributo de 100% o superior significa inmunidad a la condicion en cuestion
Charm Resistance,Resistencia al encanto
Confusion Resistance,Resistencia a la confusion
Crit,Crit
Hits Resistance,Resistencia a los golpes
Deafness Resistance,Resistencia a la sordera
Disease Resistance,Resistencia a las enfermedades
Immobilization Resistance,Resistencia a la inmovilizacion
Insanity Resistance,Resistencia a la locura
Panic Resistance,Resistencia al panico
Paralysis Resistance,Resistencia a la paralisis
Poison Resistance,Resistencia al veneno
Silence Resistance,Resistencia al silencio
Sleep Resistance,Resistencia al sueno
#DamageBonuses,#BonificacionesDeDano
Damage Bonus vs,Bonificacion de dano vs
Abominations,Abominaciones
Creature Damage bonuses increase the Damage dealt against certain types of creatures,Las bonificaciones de dano de criaturas aumentan el dano infligido contra ciertos tipos de criaturas
Animals,Animales
Undead,No muertos
Vermin,Alimanas
Magic Damage Bonus,Bonificacion de dano magico
Damage bonuses increase the Damage dealt when using the indicated attack type,Las bonificaciones de dano aumentan el dano infligido al usar el tipo de ataque indicado
Melee Damage Bonus,Bonificacion de dano cuerpo a cuerpo
Ranged Damage Bonus,Bonificacion de dano a distancia
Unarmed Damage Bonus,Bonificacion de dano sin armas
Acid Damage Bonus,Bonificacion por dano acido
Damage Type bonuses increase the Damage dealt when the Damage is of the indicated type,Las bonificaciones de tipo de dano aumentan el dano infligido cuando el dano es del tipo indicado
Blunt Damage Bonus,Bonificacion de dano contundente
Cold Damage Bonus,Bonificacion de dano por frio
Corruption Damage Bonus,Bonificacion de dano por corrupcion
Fire Damage Bonus,Bonificacion de dano por fuego
Kinetic Damage Bonus,Bonificacion de dano cinetico
Piercing Damage Bonus,Bonificacion de dano perforante
Slashing Damage Bonus,Bonificacion de dano cortante
Sublime Damage Bonus,Bonificacion de dano sublime
Axe Damage Bonus,Bonificacion de dano del hacha
Weapon Damage bonuses increase the Damage dealt when using the indicated Weapon type,Las bonificaciones de dano de armas aumentan el dano infligido al usar el tipo de arma indicado
Bow Damage Bonus,Bonificacion de dano del arco
Club Damage Bonus,Bonificacion de dano del club
Heavy Weapon Damage Bonus,Bonificacion de dano de armas pesadas
Light Weapon Damage Bonus,Bonificacion de dano de armas ligeras
Medium Weapon Damage Bonus,Bonificacion de dano de arma media
Polearm Damage Bonus,Bonificacion de dano de arma de asta
Sword Damage Bonus,Bonificacion de dano de espada
#DamageResistances,#ResistenciasAlDano
Energy Damage Resistance,Resistencia al dano energetico
Damage Resistance reduces incoming Damage of the indicated type by a percentage amount equal to the attribute value,La resistencia al dano reduce el dano entrante del tipo indicado en un porcentaje igual al valor del atributo
A value of 100% or higher means immunity to this damage type,Un valor del 100% o superior significa inmunidad a este tipo de dano
A negative value means a vulnerability to the damage type,Un valor negativo significa una vulnerabilidad al tipo de dano
"If this is the case, incoming Damage will be increased","Si este es el caso, el dano entrante aumentara"
Magical Damage Resistance,Resistencia al dano magico
Non-Magical Damage Resistance,Resistencia al dano no magico
Physical Damage Resistance,Resistencia al dano fisico
Acid Damage Resistance,Resistencia al dano por acido
Cold Damage Resistance,Resistencia al dano por frio
Corruption Damage Resistance,Resistencia al dano por corrupcion
Electric Damage Resistance,Resistencia al dano electrico
Fire Damage Resistance,Resistencia al dano por fuego
Kinetic Damage Resistance,Resistencia al dano cinetico
Sublime Damage Resistance,Resistencia sublime al dano
Blunt Damage Resistance,Resistencia al dano contundente
Piercing Damage Resistance,Resistencia al dano perforante
Slashing Damage Resistance,Resistencia al dano cortante
Psychic Damage Resistance,Resistencia al dano psiquico
#Defences,#Defensas
Dodge,Esquiva
DODGE,ESQUIVAR
The ability to avoid incoming attacks and other reflex-based dangers,La capacidad de evitar ataques entrantes y otros peligros basados en reflejos
"In other words, this determines how hard a character is to hit","En otras palabras, esto determina que tan fuerte es golpear a un personaje"
Toughness,Tenacidad
The character’s ability to withstand adverse physical effects such as disease and poison,La capacidad del personaje para soportar efectos fisicos adversos como enfermedades y venenos
Willpower,Fuerza de voluntad
Willpower describes a character’s ability to withstand mind-affecting conditions such as those caused by spells,"La fuerza de voluntad describe la capacidad de un personaje para soportar condiciones que afectan la mente, como las causadas por hechizos"
#HitBonuses,#Bonificaciones de exito
Bonus - Axes,Bono - Hachas
Critical bonuses increase your critical chance for the indicated weapon type,Las bonificaciones criticas aumentan tu probabilidad critica para el tipo de arma indicado
Bonus - Bows,Bono - Arcos
Bonus - Clubs,Bono - Clubes
Bonus Light,Luz de bonificacion
This bonus applies to Light Weapons,Esta bonificacion se aplica a las armas ligeras
Bonus - Blades,Bono - Cuchillas
Bonus - Unarmed,Bono - Desarmado
Hit Bonus - Maneuvers,Bonificacion de golpe - Maniobras
Maneuver Hit Bonuses are added to the To Hit roll when performing Combat Maneuvers,Las bonificaciones de impacto de maniobra se suman a la tirada para impactar al realizar maniobras de combate
Hit Bonus - Abominations,Bonificacion de golpe - Abominaciones
Creature Hit Bonuses are added to the To Hit roll when attacking the indicated creature type,Las bonificaciones de golpe de criatura se suman a la tirada para golpear cuando se ataca al tipo de criatura indicado
Hit Bonus - Animals,Bonificacion de golpe - Animales
Hit Bonus - Undead,Bonificacion de golpe - No muertos
Hit Bonus - Vermin,Bonificacion de golpe - Alimanas
Hit Bonus - Axes,Bonificacion de golpe - Hachas
Weapon Hit Bonuses are added to the To Hit roll when using weapons of the indicated type,Las bonificaciones de impacto de armas se suman a la tirada para golpear cuando se usan armas del tipo indicado
Hit Bonus - Bows,Bonificacion de golpe - Arcos
Hit Bonus - Clubs,Bonificacion de golpe – Garrote
