original,original
#Animals,#Animais
Chicken,Galinha
Dog,Cachorro
The dog is roaming around restlessly,O cachorro esta andando de um lado para o outro inquieto
Goat,Cabra
#Common Humanoids,#Humanoides Comuns
Commoner,Plebeu
Guard,Guarda
A guardsman dressed in the livery of the noble house Berryn scowls at you,Um guarda vestido com a libre da nobre casa Berryn olha feio para voce
Armsmaster Lyra awaits you at the main entrance,A mestra de armas Lyra espera por voce na entrada principal
You best talk to her if you've not already done so,E melhor voce falar com ela se ainda nao o fez
Guest,Convidado
Scullion,Ajudante de Cozinha
Good evening m'lord,Boa noite meu senhor
Good evening m'lady,Boa noite minha senhora
the red-faced scullion bows slightly,o ajudante de cozinha de rosto avermelhado faz uma leve reverencia
Servants,Servos
Henchman,Capanga
Brigand Archer,Arqueiro Brigante
Brigand Rogue,Ladino Brigante
Brigand Swordsman,Espadachim Brigante
Child,Crianca
Jester,Bufao
Farmer,Fazendeiro
Fruit-Picker,Colhedor de Frutas
Handmaid,Criada
Crewmember,Membro da Tripulacao
Refugee,Refugiado
"A ragged, hungry refugee from Horryn",Um refugiado faminto e esfarrapado de Horryn
Treasure Hunter,Cacador de Tesouros
Fire-Spitter,Cuspidor de Fogo
Mercenary,Mercenario
"The mercenary looks at you, menacingly",O mercenario olha para voce de forma ameacadora
Armorer,Armeiro
Arms Merchant,Comerciante de Armas
Food Merchant,Comerciante de Alimentos
Potion Merchant,Comerciante de Pocoes
Reagent Merchant,Comerciante de Reagentes
Spell Merchant,Comerciante de Feiticos
Trinket Merchant,Comerciante de baratijas
Pilgrim,Peregrino
Reaver Berserker,Berserker devorador
Reaver Brute,Bruto saqueador
Reaver Scout,Explorador Saqueador
Reaver,Saqueador
Reaver Blackguard,Saqueador GuardiaOscura
Reaver Mystic,Saqueador Mistico
Cultist,Cultista
Prisoner,Prisionero
Wretch,Desgraciado
Sailor,Marinero
Captain,Capitan
Mad Sailor,Marinero loco
Mad Sailo,Marinero loco
Guild Magos,Magos del gremio
Guild Mag,Revista del gremio
Wight,Wight
Apprentice,Aprendiz
Feral Clone,Clon salvaje
#Monsters,#Monstruos
Giant Bat,Murcielago gigante
Giant Beetle,Escarabajo gigante
Rhino Beetle,Escarabajo rinoceronte
Carrion Crawler,Carronero
Giant Centipede,Ciempies gigante
Fell Crab,Cangrejo caido
Corpse Eater,Devorador de cadaveres
Giant Crab,Cangrejo gigante
Crab,Cangrejo
Rot Crab,Cangrejo podrido
Spider Crab,Cangrejo arana
Brood Guard,Guardia de cria
Father,Padre
Deep One Priestess,Sacerdotisa do Profundo
Deep One Queen,Reina Profunda
Deep One Warrior,Guerrero Profundo
Devolved,Descentralizado
Ghoul,Demonio necrofago
Frost Ghoul,Necrofago de escarcha
Giant Gnat,Mosquito gigante
Cave Gnat,Mosquito de cueva
Fell Hog,Cerdo caido
Dire Hound,Perro terrible
Fell Hound,Perro de caza
