original,Traducido
#Lore,#História
Adler's Helm,Adler's Helm
Adler's Helm is a mining town and the main settlement on Gradla,Adler's Helm é uma cidade mineradora e o principal assentamento em Gradla
House Berryn,Casa Berryn
The House of Berryn is one of the richest and most influential houses in the North,A Casa Berryn é uma das casas mais ricas e influentes do Norte
The current head is the lord Cato Berryn,O atual chefe é o lorde Cato Berryn
Erdahn,Erdahn
The continent where the Gallian Empire rose,O continente onde o Império Galiano surgiu
The central portion of Erdahn is known as 'the Heartland',A porção central de Erdahn é conhecida como 'o Coração do Império'
Eryll,Eryll
A mid-sized island to the north of Idra,Uma ilha de médio porte ao norte de Idra
The only settlement on Eryll is the village of Firgol,O único assentamento em Eryll é o vilarejo de Firgol
The Eternity Vale,O Vale da Eternidade
The sacred valley containing the mausoleums of dead Emperors,O vale sagrado que contém os mausoléus dos Imperadores mortos
The site is a source of immense magical energy and as such it is fervently guarded and maintained by the Court of the Magi,O local é uma fonte de imensa energia mágica e como tal é fervorosamente guardado e mantido pela Corte dos Magos
Excubitor,Excubitor
Excubitors are the personal guard of the Emperors and the only humans to see them without their masks,Os Excubitors são a guarda pessoal dos Imperadores e os únicos humanos a vê-los sem suas máscaras
The name literally means “the ones out of bed” as it is said that they never sleep,O nome significa literalmente “os que estão fora da cama” pois dizem que eles nunca dormem
Firgol,Firgol
Firgol is a small village on the island of Eryll,Firgol é um pequeno vilarejo na ilha de Eryll
Firgol is known for its orchards,Firgol é conhecido por seus pomares
Free-Lenders Guild,Guilda dos Prestamistas Livres
A league of independent banks and financial institutions that have grown to prominence within the Empire in recent years,Uma liga de bancos e instituições financeiras independentes que ganhou destaque no Império nos últimos anos
Freythen,Freythen
A group of separatists who are plotting for the eventual overthrow of Imperial power in the Freymark,Um grupo de separatistas que está conspirando para a eventual derrubada do poder Imperial na Marca Livre
Gallian the Great,Gallian, o Grande
Gallian,Gallian
Gallian the Great was the first Emperor and founder of the Empire more than three millennia ago,Gallian, o Grande foi o primeiro Imperador e fundador do Império há mais de três milênios
Gallian’s origin and much of his life is shrouded in mystery and apocrypha but it is written he came from the south and brought the laws of men and magics to the savage warlords of the Heartlands,A origem de Gallian e grande parte de sua vida são envoltas em mistério e apócrifos, mas está escrito que ele veio do sul e trouxe as leis dos homens e as magias para os senhores da guerra selvagens do Coração do Império
It is also said that he was born of three women and at the end of his reign did not die but rather became one with the reticulum,Também é dito que ele nasceu de três mulheres e ao fim do seu reinado não morreu, mas sim tornou-se um com o retículo
See Gallian’s Ascension,Veja a Ascensão de Gallian
The Gallian Empire,O Império Galiano
Gallian Empire,Império Galiano
A large but waning empire founded nearly 3000 years ago by the mythical first Emperor,Um império grande porém decadente fundado há quase 3000 anos pelo mítico primeiro Imperador
Gallian’s Ascension,Ascensão de Gallian
"At the end of the reign of the first emperor, Gallian, he is said to have ascended and become one with the reticulum","Diz-se que ao fim do reinado do primeiro imperador, Gallian, ele ascendeu e tornou-se um com o retículo"
"This was taken as a sign of not only his divinity, but the divinity and legitimacy of every Magos-Emperor since then","Isso foi visto como um sinal não apenas de sua divindade, mas da divindade e legitimidade de cada Magos-Imperador desde então"
Gallian’s Ascension (GA) is used today as the start of the modern Imperial Calendar,A Ascensão de Gallian (AG) é usada hoje como o início do Calendário Imperial moderno
Gradla,Gradla
"The northernmost island of the Outer Isles, Gradla is cold and barren","A ilha mais ao norte das Ilhas Exteriores, Gradla é fria e estéril"
"It’s sparsely settled and legend has it, it’s the site of the ruined monastery known as the Black Priory","Ela é escassamente povoada e, reza a lenda, é o local do monastério em ruínas conhecido como o Priorado Negro"
The only main settlement on Gradla is Adler's Helm,O único assentamento principal em Gradla é Adler's Helm
Horryn,Horryn
A once prosperpus port and fishing village on the island of Idra,Um porto e vilarejo pesqueiro outrora próspero na ilha de Idra
Hyalomancers,Hialomantes
Hyalomancers are Imperial magi specializing in the crafting of glass,Os hialomantes são magos Imperiais especializados na fabricação de vidro
Idra,Idra
The main island of the Outer Isles,A ilha principal do arquipélago das Ilhas Exteriores
Its main settlement is the port of Horryn,Seu principal assentamento é o porto de Horryn
The Outer Isles,As Ilhas Exteriores
A North-Easterly archipelago that serves as a mid-way point between the Gallian Empire and its colonies,Um arquipélago ao nordeste que serve como ponto intermediário entre o Império Galiano e suas colônias
Its main port is located on the island of Idra,Seu principal porto está localizado na ilha de Idra
Reticulum,Retículo
The field of arcane energies that surrounds the planet of Warda,O campo de energias arcanas que cerca o planeta de Warda
The Reticulum is the source of all power for the Imperial Magi,O Retículo é a fonte de todo o poder para os Magos Imperiais
Sepulchites,Sepulquitas
An Imperial religious order tasked with caring for the dead,Uma ordem religiosa Imperial encarregada de cuidar dos mortos
Sylver,Sylver
A rare metal with strong reticular properties,Um metal raro com fortes propriedades reticulares
Used in the construction of arcane machinery and artifacts,Usado na construção de maquinários e artefatos arcanos
Vauul,Vauul
Vauul is the Imperial capital and seat of the Magi-Emperors,Vauul é a capital Imperial e sede dos Magos-Imperadores
Warda,Warda
The planet upon which you find yourself,O planeta no qual você se encontra
Noticeable for the presence of the Reticulum,Notável pela presença do Retículo
The dominant ruling power is the Gallian Empire,O poder governante dominante é o Império Galiano
#Rules,#Regras
Simulates rolling and adding up two six-sided dice,Simula rolar e somar dois dados de seis lados
In other words a 2d6 roll generates a number between 2 and,Em outras palavras uma rolagem de 2d6 gera um número entre 2 e
Accuracy,Precisão
Accuracy is added to an attacker’s Attack Roll when trying to hit an opponent,A Precisão é adicionada à Rolagem de Ataque do atacante ao tentar acertar um oponente
Accuracy is typically derived from a weapon’s quality,A Precisão é tipicamente derivada da qualidade de uma arma
Armor Piercing,Perfuração de Armadura
An attack that is Armor Piercing ignores the target’s Soak value,Um ataque que possui Perfuração de Armadura ignora o valor de Absorção do alvo
This means that the damage is not reduced by armor,Isso significa que o dano não é reduzido pela armadura
Attack Roll,Rolagem de Ataque
The Attack Roll is calulated in the following way,A Rolagem de Ataque é calculada da seguinte forma
2d6 + Melee To Hit / Ranged To Hit + Misc,2d6 + Acerto Corpo a Corpo / Acerto à Distância + Bonus
Attunement per Level,Sintonização por Nível
"Indicates how much of the game’s Magic resource, Attunement, is gained every time the character levels up","Indica quanto do recurso de Magia do jogo, Sintonização, é ganho cada vez que o personagem sobe de nível"
Backstab,Ataque pelas Costas
A character that has activated the Ability to Backstab will automatically perform Backstabbing Attacks against opponents that are either Flanked or Vulnerable,Um personagem que ativou a Habilidade de Ataque pelas Costas realizará automaticamente Ataques pelas Costas contra oponentes que estejam Flanqueados ou Vulneráveis
A successful Backstab Attack adds the character’s Backstab Bonus Multiplied by the Weapon’s Crit Modifier to the damage roll,Um Ataque pelas Costas bem-sucedido adiciona o Bônus de Ataque pelas Costas do personagem Multiplicado pelo Modificador de Crítico da Arma à rolagem de dano
Cascade,Cascata
Each spell has a Cascade Difficulty,Cada feitiço tem uma Dificuldade de Cascata
"When casting a spell, the caster tests their Spell Aptitude test against the Cascade Difficulty of the spell","Ao lançar um feitiço, o conjurador testa sua Aptidão Mágica contra a Dificuldade de Cascata do feitiço"
"If they succeed, they get to take another action","Se tiverem sucesso, ganham o direito de realizar outra ação"
If they fail their turn ends,Se falharem, o turno deles termina
This allows casters to chain spells together,Isso permite que os conjuradores encadeiem feitiços
A caster can cascade a number of spells together equal to their Max Cascade attribute,Um conjurador pode encadear um número de feitiços igual ao seu atributo de Cascata Máxima
Charging,Investida
Moving at least 2 tiles in a straight line before performing an attack allows characters with a Melee weapon to perform a Charge Attack,Mover pelo menos 2 blocos em linha reta antes de realizar um ataque permite que personagens com uma arma Corpo a Corpo realizem um Ataque de Investida
Charge attacks add a bonus to your hit chance depending on how far you manage to move before attacking,Ataques de investida adicionam um bônus à sua chance de acerto dependendo de quão longe você consiga se mover antes de atacar
Critical Hit,Acerto Crítico
