original,original
#Steam Achivements,#Conquistas da Steam
All is Darkness,Tudo e Escuridao
You’ve finished the game!,Voce terminou o jogo!
A Deeper Dark,Uma Escuridao Mais Profunda
You’ve completed the lighthouse-keeper’s quest,Voce completou a missao do guardiao do farol
The Liberator of Horryn,O Libertador de Horryn
You’ve liberated the beleaguered town of Horryn,Voce libertou a cidade cercada de Horryn
Patricide,Patricidio
You’ve slain the foul leader of the Reavers on Idra,Voce matou o lider maldito dos Saqueadores em Idra
Pilgrimage,Peregrinacao
Puppeteer,Titiritero
You managed to defeat the Reaver chieftains using wits rather than brawn,Voce conseguiu derrotar os chefes Saqueadores usando a cabeca em vez da forca bruta
A Light in the Darkness,Uma Luz na Escuridao
You managed to help the wretched refugees of Horryn,Voce conseguiu ajudar os coitados dos refugiados de Horryn
Gradla,Gradla
You’ve sailed north to Gradla to uncover the secrets that may be found on the island's plateau,"Voce navegou para o norte, ate Gradla, para descobrir os segredos no planalto da ilha"
Shores of Idra,Praias de Idra
You've made it to the bleak shores of the Isle of Idra,Voce chegou nas praias desertas da Ilha de Idra
Such Wonders,Tais Maravilhas
The Eternity Gate,O Portal da Eternidade
The Black Priory reveals its secrets to you,O Priorado Negro revela os segredos dele para voce
The Priory Opens,O Priorado se Abre
You stand at the threshold of the Black Priory,Voce esta na entrada do Priorado Negro
The Queen is Dead,A Rainha esta Morta
Tower of Ash,Torre de Cinza
Chitters-In-Darkness,Coisas que Chiam na Escuridao
