original,Traducido
#Combat Tutorials,#Tutoriais de Combate
Charging,Investida
Moving at least 2 tiles in a straight line before performing an attack allows characters with a Melee weapon to perform a Charge Attack,Mover pelo menos 2 blocos em linha reta antes de realizar um ataque permite que personagens com uma arma Corpo a Corpo realizem um Ataque de Investida
Charge attacks significantly increase your likelihood to hit,Ataques de investida aumentam significativamente a sua probabilidade de acerto
Charge attacks add a bonus to your hit chance depending on how far you manage to move before attacking,Ataques de investida adicionam um bônus à sua chance de acerto dependendo de quão longe você consiga se mover antes de atacar
The teal pips over the character indicate how much momentum is built up by the charge,Os pontos verde-azulados sobre o personagem indicam quanto impulso foi gerado pela investida
"The more momentum, the bigger the charge bonus","Quanto mais impulso, maior será o bônus de investida"
A successful charge will give the following text printing the bonus that was added to the character’s To-Hit roll,Uma investida bem-sucedida exibirá o seguinte texto mostrando o bônus que foi adicionado à rolagem Para Acertar do personagem
Tactical View,Visão Tática
Pressing SHIFT in combat brings up the tactical overlay and makes it easier to see the exact positioning of characters and the underlying grid,Pressionar SHIFT em combate ativa a sobreposição tática e torna mais fácil ver o posicionamento exato dos personagens e a grade subjacente
"In the settings menu, you can toggle the tactical overlay to be always on during the player’s turn","No menu de configurações, você pode alternar a sobreposição tática para ficar sempre ativa durante o turno do jogador"
Holding LEFT TRIGGER in combat brings up the tactical overlay and makes it easier to see the exact positioning of characters and the underlying grid,Segurar o GATILHO ESQUERDO em combate ativa a sobreposição tática e torna mais fácil ver o posicionamento exato dos personagens e a grade subjacente
Conditions,Condições
You have contracted a disease from your fight with the rats,Você contraiu uma doença na sua luta contra os ratos
You may see what conditions are affecting you by opening the Character Sheet,Você pode ver quais condições estão afetando você abrindo a Ficha de Personagem
Click your portraits or press ‘C’ to do so,Clique nos seus retratos ou pressione ‘C’ para fazer isso
Not all conditions are negative!,Nem todas as condições são negativas!
Press the Y BUTTON to do so,Pressione o BOTÃO Y para fazer isso
Negative conditions can often be cured by magic or rest,Condições negativas geralmente podem ser curadas por magia ou descanso
This disease can be cured by a potion,Esta doença pode ser curada por uma poção
Pick up and equip the lantern to search the area!,Pegue e equipe a lanterna para vasculhar a área!
Hint,Dica
Some containers are hidden until your character “spots” them,Alguns contêineres ficam ocultos até que seu personagem os “detecte”
Difficulty,Dificuldade
Warda is a dangerous place where you can quickly end up facing very dangerous beings,Warda é um lugar perigoso onde você pode rapidamente acabar enfrentando seres muito perigosos
Sometimes the best tactic is to leave a fight for later as you level up and gather more equipment and allies,Às vezes, a melhor tática é deixar uma luta para mais tarde, conforme você sobe de nível e reúne mais equipamentos e aliados
Remember that you can change the difficulty of the game at any time,Lembre-se de que você pode alterar a dificuldade do jogo a qualquer momento
You can even create your own custom difficulty!,Você pode até criar sua própria dificuldade personalizada!
Play the game the way YOU want it!,Jogue o jogo do jeito que VOCÊ quiser!
Flanking,Flanqueamento
A character can be Flanked if opponents occupy the tile above and below it or to the left and right of it,Um personagem pode ser Flanqueado se os oponentes ocuparem o bloco acima e abaixo dele ou à esquerda e à direita dele
It is much easier to hit a Flanked character,É muito mais fácil acertar um personagem Flanqueado
A Rogue will automatically Backstab Flanked targets to deal massive amounts of damage,Um Ladino irá automaticamente Esfaquear pelas Costas alvos Flanqueados para causar grandes quantidades de dano
Here the main character has moved to the right of the mercenary,Aqui o personagem principal se moveu para a direita do mercenário
And then Roland moves to the left of the mercenary who is now Flanked,E então Roland se move para a esquerda do mercenário, que agora está Flanqueado
Note the red double-arrow icon that indicates when a character is Flanked,Observe o ícone de seta dupla vermelha que indica quando um personagem está Flanqueado
Initiative,Iniciativa
"In combat, characters act in order of initiative","Em combate, os personagens agem em ordem de iniciativa"
You can view the initiative order by using the Initiative Widget on the left side of the screen,Você pode visualizar a ordem de iniciativa usando o Widget de Iniciativa no lado esquerdo da tela
Moving the cursor over the widget makes it pop out,Mover o cursor sobre o widget faz com que ele apareça
Note that moving the cursor over a name will make that character's outline flash on the battlefield,Observe que mover o cursor sobre um nome fará com que o contorno daquele personagem pisque no campo de batalha
Injuries,Lesões
Your character is critically injured!,Seu personagem está gravemente ferido!
This means you have taken enough damage to reduce BOTH your Vitality and Wounds,Isso significa que você sofreu dano suficiente para reduzir TANTO sua Vitalidade quanto seus Ferimentos
The green bar under your Character’s portrait represents your Vitality score,A barra verde sob o retrato do seu Personagem representa seus pontos de Vitalidade
Vitality is a buffer to your wounds and as long as you have Vitality left you won’t take (serious,A Vitalidade é um amortecedor para seus ferimentos e, enquanto tiver Vitalidade restante, você não sofrerá (graves)
Wound damage,Dano de ferimento
Vitality is easily lost and easily regained!,A Vitalidade é facilmente perdida e facilmente recuperada!
Potions and healing magic restores Vitality - even during combat,Poções e magia de cura restauram a Vitalidade - mesmo durante o combate
"The second, purple bar represents your Wounds",A segunda barra, roxa, representa seus Ferimentos
Losing Wounds is much more serious than losing Vitality,Perder Ferimentos é muito mais sério do que perder Vitalidade
Reaching 0 wounds means your character falls unconscious,Chegar a 0 ferimentos significa que seu personagem fica inconsciente
Wounds can also only be recovered by resting (or leveling up,Ferimentos também só podem ser recuperados descansando (ou subindo de nível)
Try to avoid taking Wound damage at all costs!,Tente evitar sofrer dano de Ferimento a todo custo!
"Whenever you take Wound damage, you gain an Injury Condition as indicated by the icon on the portrait","Sempre que você sofre dano de Ferimento, você ganha uma Condição de Lesão, conforme indicado pelo ícone no retrato"
Injuries confer serious penalties to your character and can only be removed by resting,Lesões concedem penalidades sérias ao seu personagem e só podem ser removidas descansando
A party full of injured party members has its combat effectiveness severely reduced!,Um grupo cheio de membros lesionados tem sua eficácia de combate severamente reduzida!
Making camp and resting is the surest way to restore an injured character!,Fazer um acampamento e descansar é a maneira mais garantida de restaurar um personagem lesionado!
Note that resting is not possible in every location so plan accordingly,Observe que descansar não é possível em todos os locais, então planeje de acordo
You can also rest at inns when you find them,Você também pode descansar em estalagens quando as encontrar
Interactables,Interativos
Moving the cursor over an interactable object will make a yellow outline appear,Mover o cursor sobre um objeto interativo fará com que um contorno amarelo apareça
Left mouse-click to interact with the object,Clique com o botão esquerdo do mouse para interagir com o objeto
Right mouse-click to examine it,Clique com o botão direito do mouse para examiná-lo
Use RIGHT TRIGGER to interact with and object and press LEFT TRIGGER to examine it,Use o GATILHO DIREITO para interagir com um objeto e pressione o GATILHO ESQUERDO para examiná-lo
Holding down SHIFT will highlight all interactable objects in view,Segurar SHIFT destacará todos os objetos interativos à vista
Some objects are hidden and won't be highlighted until they are spotted,Alguns objetos ficam ocultos e não serão destacados até serem detectados
Holding down LEFT TRIGGER will highlight all interactable objects in view,Segurar o GATILHO ESQUERDO destacará todos os objetos interativos à vista
Inventory,Inventário
"If you've not already done so, you must equip a weapon","Se ainda não o fez, você deve equipar uma arma"
Press 'E' to manage your equipment,Pressione 'E' para gerenciar seu equipamento
Clicking an item selects and examines it,Clicar em um item o seleciona e o examina
Select items using the cursor to examine and use it,Selecione itens usando o cursor para examiná-los e usá-los
Press the X BUTTON on the controller to manage your equipment,Pressione o BOTÃO X no controle para gerenciar seu equipamento
Double click on items to use them,Clique duas vezes nos itens para usá-los
For weapons and armor this means the item becomes equipped,Para armas e armaduras, isso significa que o item é equipado
Equipped items are moved to the relevant equipment slot,Itens equipados são movidos para o compartimento de equipamento correspondente
"Select an item and press the A BUTTON to ""use"" it","Selecione um item e pressione o BOTÃO A para ""usá-lo"""
Note that you can also press RIGHT TRIGGER with the cursor over a selected item to use it,Observe que você também pode pressionar o GATILHO DIREITO com o cursor sobre um item selecionado para usá-lo
Movement Points,Pontos de Movimento
The widget on the lower right side represents the character’s action points,O widget no canto inferior direito representa os pontos de ação do personagem
The yellow pips represent Movement points,Os pontos amarelos representam pontos de Movimento
The violet pips represent Attacks,Os pontos violetas representam Ataques
You can move a number of tiles each combat equal to your Movement Points AND Attacks,Você pode mover um número de blocos a cada combate igual aos seus Puntos de Movimento E Ataques
But spending Attacks to move means you won't be able to attack that turn,Mas gastar Ataques para se mover significa que você não poderá atacar naquele turno
This is a good way of moving extra far,Esta é uma boa maneira de ir mais longe
Performing an attack will clear out all remaining movement points,Realizar um ataque eliminará todos os pontos de movimento restantes
"In other words, attacking will end the character’s turn in most cases","Em outras palavras, atacar terminará o turno do personagem na maioria dos casos"
New Character,Novo personagem
You’ve added a new character to your party!,Você adicionou um novo personagem ao seu grupo!
"Press ""Q"" or the character portraits to swap the party leader","Pressione ""Q"" ou os retratos dos personagens para alternar o líder do grupo"
Press RIGHT BUMPER or the character portraits to swap the party leader,Pressione o BOTÃO SUPERIOR DIREITO ou os retratos dos personagens para alternar o líder do grupo
The current leader’s Attributes are used for tests outside combat (such as for Awareness or Stealth,Os atributos do líder atual são usados para testes fora de combate (como Percepção ou Furtividade)
Familiarize yourself with the Attributes and Abilities of your party members and have the right character take the lead depending on the circumstances,Familiarize-se com os Atributos e Habilidades dos membros do seu grupo e faça o personagem certo assumir a liderança dependendo das circunstâncias
