original,traducido
#General Enchantments,#Encantamentos Gerais
Agility,Agilidade
Adds +1 to Agility,Adiciona +1 a Agilidade
Fortitude,Fortitude
Adds +1 to Fortitude,Adiciona +1 a Fortitude
Intellect,Intelecto
Adds +1 to Intellect,Adiciona +1 a Intelecto
Presence,Presenca
Adds +1 to Presence,Adiciona +1 a Presenca
Strength,Forca
Adds +1 to Strength,Adiciona +1 a Forca
Initiative,Iniciativa
Adds +2 to Initiative,Adiciona +2 a Iniciativa
Speed,Velocidade
Adds +1 to Movement Speed,Adiciona +1 a Velocidade de Movimento
Heroic,Heroico
Adds +1 to all five Primary Attributes,Adiciona +1 a todos os cinco Atributos Primarios
Protection,Protecao
"adds +1 to Will, Toughness and Dodge","Adiciona +1 a Vontade, Resistencia e Esquiva"
Defence,Defesa
Adds +1 to Dodge,Adiciona +1 a Esquiva
Toughness,Resistencia
Adds +1 to Toughness,Adiciona +1 a Resistencia
Willpower,Vontade
Adds +1 to Willpower,Adiciona +1 a Vontade
Athletics,Atletismo
Adds +1 to Athletics,Adiciona +1 a Atletismo
Awareness,Percepcao
Adds +1 to Awareness,Adiciona +1 a Percepcao
Crafting,Artesanato
Adds +1 to Crafting,Adiciona +1 a Artesanato
Diplomacy,Diplomacia
Adds +1 to Diplomacy,Adiciona +1 a Diplomacia
Healing,Cura
Adds +1 to Healing,Adiciona +1 a Cura
Lore,Conhecimento
Adds +1 to Lore,Adiciona +1 a Conhecimento
Stealth,Furtividade
Adds +1 to Stealth,Adiciona +1 a Furtividade
Survival,Sobrevivencia
Adds +1 to Survival,Adiciona +1 a Sobrevivencia
Thievery,Roubo
Adds +1 to Thievery,Adiciona +1 a Roubo
#Weapon Enchantments,#Encantamentos de Arma
Accuracy,Precisao
This Weapon has +2 To Hit,Esta Arma possui +2 para Acertar
Accuracy and Damage,Precisao e Dano
This Weapon does +1 base damage and has +2 To Hit,Esta Arma causa +1 de dano base e possui +2 para Acertar
Greater Accuracy and Damage,Precisao e Dano Maior
This Weapon does +3 base damage and has +3 To Hit,Esta Arma causa +3 de dano base e possui +3 para Acertar
Accuracy - Greater,Precisao - Maior
This Weapon has +3 To Hit,Esta Arma possui +3 para Acertar
Acid Attack,Ataque de Acido
A small amount of extra acid-damage is caused on a hit,Uma pequena quantidade de dano de acido adicional e causada em um acerto
Frost Attack,Ataque de Gelo
A small amount of extra cold-damage is caused on a hit,Uma pequena quantidade de dano de gelo adicional e causada em um acerto
Keen,Afia-do
This Weapon does +1 base damage,Esta Arma causa +1 de dano base
Keen - Greater,Afia-do - Maior
This Weapon does +3 base damage,Esta Arma causa +3 de dano base
Lightning Attack,Ataque Eletrico
A small amount of extra lightning-damage is caused on a hit,Uma pequena quantidade de dano eletrico adicional e causada em um acerto
Fire Attack,Ataque de Fogo
A small amount of extra fire-damage is caused on a hit,Uma pequena quantidade de dano de fogo adicional e causada em um acerto
Increases the Dodge of the wielder by +1,Aumenta a Esquiva do portador em +1
