original,translation
#Main Quests,#Missoes Principais
A Twilight Meeting,Um Encontro Crepuscular
I’ve been summoned to the estate of the lord Cato Berryn,Fui convocado a propriedade do lorde Cato Berryn
My father’s old patron,O antigo patrono de meu pai
"Though I grew up here, I’ve not been back for decades due to the unfortunate manner in which my father left the service of House Berryn","Embora eu tenha crescido aqui, nao volto ha decadas devido a forma infeliz como meu pai deixou o servico da Casa Berryn"
I do not know why Cato summons me now and I must venture to find out,Nao sei por que Cato me convoca agora e devo me aventurar para descobrir
The lord Berryn has tasked me to find his daughter,O lorde Berryn me encarregou de encontrar sua filha
"My childhood friend, Embal","Minha amiga de infancia, Embla"
Rescue Embla,Resgatar Embla
"My father's old patron, Lord Cato Berryn, has tasked me to rescue his daughter from the island of Idra","O antigo patrono de meu pai, Lorde Cato Berryn, me encarregou de resgatar sua filha na ilha de Idra"
She was last seen in the city of Horryn and I must search for clues as to her fate,Ela foi vista pela ultima vez na cidade de Horryn e devo procurar pistas sobre o seu destino
I found Embla in the town of Horryn,Encontrei Embla na cidade de Horryn
Events have conspired however to make it impossible to return to the mainland,Contudo, os eventos conspiraram para tornar impossivel o retorno ao continente
Instead we must venture to end the madness that has engulfed the region,Em vez disso, devemos nos aventurar para acabar com a loucura que engoliu a regiao
This quest has failed,Esta missao fracassou
Refugees of Horryn,Refugiados de Horryn
"Marcus the Chamberlain, the de-facto leader of the refugees, has pleaded with me to help the camp","Marcus, o Camareiro, o lider de fato os refugiados, suplicou por minha ajuda para o acampamento"
Food is running low and he’s requested I talk to Frantzo,A comida esta acabando e ele pediu que eu fale com Frantzo
There is also a disease outbreak in camp and I should talk to Drahl the cleric about that,Tambem ha um surto de doenca no acampamento e devo falar com o clerigo Drahl sobre isso
Both can be found in the camp,Ambos podem ser encontrados no acampamento
I’ve done what I can for the camp and the refugees have certainly been given a fighting chance,Fiz o que pude pelo acampamento e os refugiados certamente ganharam uma chance de lutar
Mouths to Feed,Bocas para Alimentar
"Frantzo, the camp’s cook and de-facto quartermaster, needs me to find food supplies for the refugees","Frantzo, o cozinheiro e intendente de fato do acampamento, precisa que eu encontre suprimentos de comida para los refugiados"
He needs a large supply of it and soon as people have begun dying from starvation,Ele precisa de uma grande quantidade e logo, pois as pessoas comecaram a morrer de fome
I’ve provided the Frantzo with the food he needs to keep the refugees fed for the foreseeable future,Forneci a Frantzo a comida necessaria para manter os refugiados alimentados no futuro proximo
Jakub's Goats,As Cabras de Jakub
Frantzo suggests looking into the farmer’s missing herd of goats,Frantzo sugere investigar o rebanho de cabras desaparecido do fazendeiro
He suspects the farmer hid them away to keep them from being eaten by starving refugees,Ele suspeita que o fazendeiro as escondeu para evitar que fossem comidas pelos refugiados famintos
Bring the Goats to Camp,Leve as Cabras para o Acampamento
I found Jakub's hidden goats up in a secluded mountain glen,Encontrei as cabras escondidas de Jakub em um vale isolado nas montanhas
Now I must bring the herd of goats to the refugee camp,Agora devo levar o rebanho de cabras para o acampamento de refugiados
If I don't get Jakub to agree first there may be consequences,Se eu nao fizer Jakub concordar primeiro, podera haver consequencias
Convince Jakub,Convencer Jakub
Perhaps I should talk to Jakub and see if convince him to let me bring the goats back to camp,Tal vez eu deva falar com Jakub e ver se o convenco a me deixar levar as cabras de volta ao acampamento
"Jakub, the Idran goat farmer, has come to his senses and agreed to let me bring the goats to camp so they can be eaten","Jakub, o criador de cabras de Idra, recobrou o juizo e concordou em me deixar levar as cabras ao acampamento para servirem de alimento"
He asks that I go and help his son,Ele pede que eu va ajudar o seu filho
Return to Frantzo,Voltar para Frantzo
I must return to Frantzo and tell him that I've brought Jakub's goats to camp,Debo voltar ate Frantzo e dizer-lhe que trouxe as cabras de Jakub para o acampamento
Search for the Goats,Buscar pelas Cabras
I need to start by looking for a clue as to where the herd could be located,Preciso comecar procurando uma pista de onde o rebanho poderia estar localizado
An Alternate Supply,Um Suprimento Alternativo
Look for an alternate solution to the food-crisis in the refugee camp,Buscar uma solucao alternativa para a crise de alimentos no acampamento de refugiados
Sea's Bounty,A Generosidade do Mar
