original,original.1
#Apperances,#Aparencias
Carylla,Carylla
#Difficulties,#Dificuldades
Narrative,Narrativa
Narrative mode is the difficulty for players who would like to experience the game’s story and setting with a minimum of focus on combat and grinding,O modo Narrativa e voltado para jogadores que desejam aproveitar a historia e o mundo do jogo com pouco foco em combate e repeticao.
Easy,Facil
Easy mode is a great way for players who are new to this style of roleplaying game to experience Skald,O modo Facil e ideal para quem esta conhecendo este estilo de RPG e deseja experimentar Skald.
Combat is forgiving and there should be little need to optimize character builds,O combate e mais tolerante e exige pouca otimizacao dos personagens.
Dice rolls are weighted in the player’s favor,As rolagens de dados favorecem o jogador.
Normal,Normal
Normal mode is the game’s intended difficulty setting,O modo Normal e a dificuldade padrao do jogo.
There is only very limited artificial smoothing of certain dice rolls,Ha apenas uma leve compensacao em algumas rolagens de dados.
Hard,Dificil
Hard mode is intended to offer the player a challenge without feeling unfair,O modo Dificil busca oferecer um desafio sem parecer injusto.
Dice rolls are slightly weighted in the opponent's favor making them more deadly,"As rolagens favorecem levemente os inimigos, tornando os combates mais perigosos."
#Encounters,#Encontros
Brigands,Brigantes
You’ve been beset by brigands!,Voce foi atacado por brigantes!
Stand and deliver!,Parem e entreguem seus bens!
Abandoned Cargo,Carga Abandonada
There is some abandoned cargo strewn on the road ahead of you,Ha uma carga abandonada espalhada pela estrada a frente.
Horrors from the deep,Horrores das Profundezas
You're being attacked by enormous fell-crabs!,Voce esta sendo atacado por enormes caranguejos ferozes!
Crawlers,Rastejantes
Foul creatures swarm from holes in the ground!,Criaturas repugnantes surgem aos montes de buracos no chao!
Devolved,Degenerados
"More beast than man, devolved troglodytes charge towards you!","Mais feras que homens, os trogloditas degenerados avancam em sua direcao!"
Flotsam,Destrocos Flutuantes
You come across some flotsam,Voce encontra alguns destrocos flutuantes.
Giant Insects,Insetos Gigantes
Giant insects scurry towards you!,Insetos gigantes avancam em sua direcao!
Giant insects swarm you!,Insetos gigantes cercam voce!
White Hounds,Sabujos Brancos
Foul slavering beasts barrel towards you!,Feras babantes e ferozes avancam contra voce!
Crabs,Caranguejos
You're being swarmed by monsterously over-grown crabs!,Voce esta sendo cercado por caranguejos monstruosamente grandes!
Rot Crabs,Caranguejos Putridos
