original,original
#Combat Manuevers,#Manobras de Combate
Wild Swing,Giro Selvagem
Critical Strike,Ataque Critico
Defend Ally,Defender Aliado
Mark Target,Marcar Alvo
The Target gets the Marked Condition which confers a -2 penalty to Dodge for the rest of the encounter,O alvo recebe a Condicao Marcado que penaliza em -2 a Esquiva pelo resto do encontro
Radiate Fear,Irradiar Medo
Blizzard Aura,Aura de Ventania
Aura of Fire,Aura de Fogo
Fire Lance,Lanca de Fogo
Howl of Terror,Uivo de Terror
Lightning Lash,Chicote de Raios
Spit Acid,Cuspir Acido
Spit Poison,Cuspir Veneno
Spray Acid,Borrifar Acido
Attack!,Ataque!
Forwards!,Avante!
Regroup!,Reagrupar!
Stand Your Ground!,Manter Posicao!
Precise Strike,Golpe Preciso
Rapid Shot,Disparo Rapido
The character makes a ranged attack,O personagem realiza um ataque a distancia
"If that attack is successful, they may make another, free attack","Se esse ataque for bem-sucedido, voce podera realizar outro ataque gratuito"
Pierce Armor,Perfurar Armadura
Vein Strike,Golpe na Arteria
Savage Strike,Golpe Selvagem
Shake the Earth,Sacudir a Terra
Shield Rush,Investida de Escudo
Perform an attack that pushes your opponent back one square if successfull,Realiza um ataque que empurra o oponente uma casa para tras se for bem-sucedido
Deals normal damage,Causa dano normal
Spellburn,Queima de Feitico
Storm of Steel,Tempestade de Aco
Stunning Blow,Golpe Atordoante
Thrust And Parry,Estocada e Aparo
Dash,Disparada
Hide in Combat,Esconder-se em Combate
You gain the ability to hide whilst in Combat,Voce ganha a habilidade de se esconder em combate
Attacking whilst hidden triggers the Backstab attack,Atacar oculto ativa o ataque de Apunhalada pelas Costas
Infect,Infectar
Ice Breath,Sopro de Gelo
Imperial Litany,Litania Imperial
Hamstring,Cortar Tendao
Second Wind,Segundo Folego
#Passive Abilitiy,#Habilidade Passiva
Backstabber,Apunhalador
Allows the character to perform Backstab Attacks against voulnerable targets,Permite ao personagem realizar Ataques de Apunhalada pelas Costas contra alvos vulneraveis
Evasive,Evasivo
Disengaging from Melee does not cause your turn to end,Recuar do combate corpo a corpo nao encerra o seu turno
Fancy Footwork,Jogo de Pes Agil
Swapping Places with allies not longer causes your Turn to end,Trocar de lugar com aliados nao encerra mais o seu turno
Activate Spellcasting,Ativar Conjuracao
Allows the character to begin studying schools of spellcasting,Permite ao personagem comecar os estudos nas escolas de magia
"To learn spells, pick and invest in one or more such schools","Para aprender feiticos, escolha e investe em uma ou mais dessas escolas"
Increased Agiliy,Agilidade Ampliada
Increased Heavy Armor Use,Uso Ampliado de Armadura Pesada
Increased Light Armor Use,Uso Ampliado de Armadura Leve
Increased Medium Armor Use,Uso Ampliado de Armadura Media
Increased Athletics,Atletismo Ampliado
Increased Attunement,Sintonizacao Ampliada
Spell Aura Radius Increase,Aumento do Raio da Aura de Feitico
Increased Awareness,Percepcao Ampliada
Increased Backstab Damage,Dano de Apunhalada Ampliado
Pack Mule,Mula de Carga
Increased Crafting,Artesanato Ampliado
Critical Resistance,Resistencia Critica
Increased Diplomacy,Diplomacia Ampliada
Increased Dodge,Esquiva Ampliada
Fletching,Arquearia
