original,translation
Select,Selecionar
Abort,Abortar
Pick a Difficulty,Escolha uma dificuldade
Character Creation,Criacao de Personagem
Class,Classe
Background,Historico
Attributes,Atributos
Appearance,Aparencia
Welcome to character creation!,Bem-vindo a criacao de personagens!
Start by picking a DIFFICULTY for your playthrough,Comece escolhendo uma DIFICULDADE para a sua partida
Are you sure you want to abort?,Tem certeza de que deseja abortar?
Difficulty can be changed during play,A dificuldade pode ser alterada durante o jogo
Bard,Bardo
Battlemagos,Mago de Batalha
Champion,Campeao
Hierophant,Hierofante
Hospitaller,Hospitalario
Officer,Oficial
Ranger,Patrulheiro
Thief,Ladrao
Select a Class,Selecione uma Classe
ARMSMASTER,MESTRE DAS ARMAS
Archetype,Arquetipo
Warrior,Guerreiro
The Main Attribute for this Class is Strength,O Atributo Principal desta Classe e a Forca
Start,Comecar
DP,PD
HP/Lvl,PV/Nvl
Magic/Lvl,Magia/Nvl
May use any armor,Pode usar qualquer armadura
"May use all weapons of type Blade, Axe, Club and Bow","Pode usar todas as armas do tipo Lamina, Machado, Porrete e Arco"
"Next, select a CLASS for your character!","Em seguida, selecione uma CLASSE para o seu personagem!"
Classes define a character's role in the party by adding certain exclusive abilities,As classes definem o papel de um personagem no grupo adicionando certas habilidades exclusivas
DEVELOPMENT POINTS,PONTOS DE DESENVOLVIMENTO
Development Points are gained when leveling up and used to buy ranks in Feats,Os Pontos de Desenvolvimento sao obtidos ao subir de nivel e usados para comprar niveis de Talentos
This unlocks new Abilities for the Character making them more powerful,Isso desbloqueia novas Habilidades para o Personagem tornando-o mais poderoso
MAIN ATTRIBUTE,ATRIBUTO PRINCIPAL
The Main Attribute is the Attribute that is the most important for this Class,O Atributo Principal e o Atributo mais importante para esta Classe
STRENGTH,FORCA
Attribute - Primary,Atributo - Primario
A measure of a character's brawn and physical power,Uma medida dos musculos e do poder fisico do personagem
ATTUNEMENT PER LEVEL,SINTONIA POR NIVEL
"Indicates how much of the game’s Magic resource, Attunement, is gained every time the character levels up","Indica quanto do recurso de Magia do jogo, Sintonia, e ganho cada vez que o personagem sobe de nivel"
VITALITY PER LEVEL,VITALIDADE POR NIVEL
"Indicates how much of the game’s Hitpoint resource, Vitality, is gained every time the character levels up","Indica quanto do recurso de Pontos de Vida do jogo, Vitalidade, e ganho cada vez que o personagem sobe de nivel"
BARD,BARDO
Rogue,Vigarista
The Bard mixes the Rogue’s decent combat skills and high maneuverability with the use of arcane magic,O Bardo mistura as boas habilidades de combate e a alta manobrabilidade do Vigarista com o uso de magia arcana
The Main Attribute for this Class is Presence,O Atributo Principal desta Classe e a Presenca
May wear Light armor,Pode usar armadura Leve
"May use Light and Medium weapons of type Blade, Axe, Club and Bow","Pode usar armas Leves e Medias do tipo Lamina, Machado, Porrete e Arco"
ROGUE,VIGARISTA
The Rogue combines important non-combat skills with a large damage output against single targets,O Vigarista combina habilidades importantes fora de combate com um alto potencial de dano contra alvos individuais
BATTLEMAGOS,MAGO DE BATALHA
"Unlike other Magi, they also get access to a few basic combat-related Feats and may wear light armor","Ao contrario de outros Magos, eles tambem tem acesso a alguns Talentos basicos de combate e podem usar armadura leve"
The Main Attribute for this Class is Intellect,O Atributo Principal desta Classe e o Intelecto
"May use Light weapons of type Blade, Club and Bow","Pode usar armas Leves do tipo Lamina, Porrete e Arco"
CHAMPION,CAMPEAO
Cleric,Clerigo
The Champion is a Cleric who excels in the use of blades and armor whilst still having limited divine spell-casting abilities,O Campeao e um Clerigo que se destaca no uso de laminas e armaduras, possuindo tambem habilidades limitadas de conjuracao divina
May use all weapons of type Blade and Club,Pode usar todas as armas do tipo Lamina e Porrete
GUILD-MAGOS,MAGO DA GUILDA
This comes at the cost of having absolutely no combat related Feats,Isso custa o preco de nao possuir absolutamente nenhum Talento voltado para o combate
May not wear armor,Nao pode usar armadura
HIEROPHANT,HIEROFANTE
A Hierophant is a Cleric who can develop all the different Divine Spell Schools fully,Um Hierofante e um Clerigo que pode desenvolver totalmente todas as diferentes Escolas de Magia Divina
May use Light and Medium weapons of type Club,Pode usar armas Leves e Medias do tipo Porrete
HOSPITALLER,HOSPITALARIO
The Hospitaller is a Cleric who serves as a front line healer,O Hospitalario e um Clerigo que atua como curandeiro de linha de frente
"Well armed and armored, they can stand their ground against overwhelming foes whilst also getting access to the highest tiers of the Body Magic School","Bem armado e protegido, ele pode manter sua posicao contra inimigos avassaladores, tendo tambem acesso aos niveis mais altos da Escola de Magia Corporal"
OFFICER,OFICIAL
The Officer is a skilled warrior who serves as a force multiplier through their tactical skills,O Oficial e um guerreiro habilidoso que atua como um multiplicador de forca por meio de suas capacidades taticas
"Issuing orders across the battlefield, they vastly improve the performance of their fellow party-members","Dando ordens pelo campo de batalha, ele melhora drasticamente o desempenho de seus companheiros de grupo"
RANGER,PATRULHEIRO
The Ranger is a Warrior specializing in ranged combat and with access to limited nature magic,O Patrulheiro e um Guerreiro especializado em combate a distancia e com acesso a magia limitada da natureza
THIEF,LADRAO
The Thief is a Rogue who uses Stealth to set up devestating Backstab attacks,O Ladrao e um Vigarista que usa o Sigilo para armar ataques devastadores de Apunhalada pelas Costas
The Main Attribute for this Class is Agility,O Atributo Principal desta Classe e a Agilidade
STEALTH,SIGILO
Attribute - Skill,Atributo - Pericia
Stealth is used during adventuring,O Sigilo e usado durante as aventuras
In particular it determines if NPCs notice the party as it moves around,Em particular, ele determina se os NPCs notam o grupo enquanto ele se desloca
AGILITY,AGILIDADE
"A measure of hand-eye coordination, nimbleness and dexterity","Uma medida de coordenacao motora, agilidade e destreza"
BACKSTAB,APUNHALADA PELAS COSTAS
A character that has activated the Ability to Backstab will automatically perform Backstabbing Attacks against opponents that are either Flanked or Vulnerable,Um personagem que ativou a Habilidade de Apunhalada pelas Costas realizara automaticamente Ataques de Apunhalada pelas Costas contra oponentes que estejam Flanqueados ou Vulneraveis
A successful Backstab Attack adds the character’s Backstab Bonus Multiplied by the Weapon’s Crit Modifier to the damage roll,Uma Apunhalada pelas Costas bem-sucedida adiciona o Bonus de Apunhalada pelas Costas do personagem Multiplicado pelo Modificador Critico da Arma a rolagem de dano
FLANKING,FLANQUEAMENTO
A character can be Flanked if opponents occupy the tile above and below it or to the left and right of it,Um personagem pode ser Flanqueado se os oponentes ocuparem o quadrado acima e abaixo dele ou a esquerda e a direita dele
Attacking a Flanked target allows the Attacker to add their Flanking Bonus to the Attack Roll,Atacar um alvo Flanqueado permite que o Atacante adicione seu Bonus de Flanqueamento a Rolagem de Ataque
Rogues may Backstab Flanked Characters,Vigaristas podem dar Apunhaladas pelas Costas em Personagens Flanqueados
BACKSTAB BONUS,BÔNUS DE APUNHALADA PELAS COSTAS
"If a successful Backstab Attack is performed, this Attribute is multiplied by the Weapon’s Crit multiplier and added to the total Damage","Se uma Apunhalada pelas Costas bem-sucedida for realizada, este Atributo e multiplicado pelo multiplicador Critico da Arma e adicionado ao Dano total"
VULNERABLE,VULNERÁVEL
A Vulnerable character cannot defend themselves,Um personagem Vulneravel nao pode se defender
This makes them much easier to hit and it also means they can be Backstabbed,Isso os torna muito mais faceis de atingir e tambem significa que podem receber uma Apunhalada pelas Costas
WARRIOR,GUERREIRO
A Warrior is a front-line fighter who can take and deal large amounts of damage,Um Guerreiro e um lutador de linha de frente que pode aguentar e causar grandes quantidades de dano
PRESENCE,PRESENÇA
A character's ability to read and react to the surrounding environment and people,A capacidade de um personagem de ler e reagir ao ambiente ao redor e as pessoas
ATTUNEMENT,SINTONIA
Attribute - Magic,Atributo - Magia
CLERIC,CLÉRIGO
The Cleric offers close-range support to their party through close ranged buffs and restorative spells,O Clerigo oferece suporte de curto alcance ao seu grupo por meio de fortalecimentos proximos e feiticos de restauracao
