original,traducido
#Beds,#Camas
Bed,Cama
Bedroll,Saco de Dormir
#Containers,#Recipientes
Armor Stand,Suporte de Armadura
Armor Stands,Suportes de Armadura
Backpack,Mochila
Arrows,Flechas
A Barrel,Um Barril
"A barrel of standard Imperial measurements, used to carry cargo on Guild ships","Um barril de medidas imperiais padrao, usado para transportar carga em navios da Guilda"
Barrels,Barris
Bookshelf,Estante de Livros
Box,Caixa
A solid box,Uma caixa solida
Brandy Crates,Caixotes de Brandy
Cabinet,Armario
A Chest,Um Bau
A sturdy wooden chest,Um bau de madeira resistente
A shoddy wooden chest,Um bau de madeira de ma qualidade
Cocoon,Casulo
The Butcher,O Acougueiro
Corpse,Cadaver
Sailor's Corpse,Cadaver de Marinheiro
Kala,Kala
Oleg,Oleg
Mauled Corpses,Cadaveres Mutilados
A Crate,Um Caixote
A well made wooden crate that carries the brand of the Nautical Guild,Um caixote de madeira bem-feito que leva a marca da Guilda Nautica
Crates,Caixotes
Small wooden crates,Caixotes pequenos de madeira
Alcove,Alcova
Shelves,Prateleiras
Desk,Escrivaninha
Apothecary's Desk,Escrivaninha do Boticario
Flower,Flor
Secret Compartment,Compartimento Secreto
Your Luggage,Sua Bagagem
A very sturdy wooden chest,Um bau de madeira muito resistente
A sturdy chest,Um bau resistente
Table of Notes,Mesa de Anotacoes
Sacks,Sacos
Sarcophagus,Sarcofago
Reagent Shelf,Prateleira de Reagentes
Smuggler's Corpse,Cadaver de Contrabandista
Table,Mesa
Surgical Tools,Ferramentas Cirurgicas
#Decoratives,#Decorativos
Cave-In,Desmoronamento
Aquarium,Aquario
Cauldron,Caldeirao
An empty cauldron,Um caldeirao vazio
Eyes,Olhos
Fountain,Fonte
Glowstaff,Bastao Luminoso
Reefs,Arrecifes
Empty Grave,Tumba Vazia
Pile of Straw,Pilha de Palha
Infestation,Infestacao
Ancient Pottery,Ceramica Antiga
"Ancient clay pottery covered in strange, ornate circular patterns","Ceramica de argila antiga coberta por padroes circulares estranhos e ornados"
Hole,Buraco
Scarecrow,Espantalho
#Doors,#Portas
Barred Gate,Portao de Grades
Door,Porta
Gate,Portao
A Door,Uma Porta
A double wooden door,Uma porta dupla de madeira
A simple wooden door,Uma porta simples de madeira
A flimsy wooden door,Uma porta fragil de madeira
A Hidden Door,Uma Porta Oculta
Stone Slab,Laje de Pedra
"A massive, reinforced door","Uma porta maciça e reforcada"
This door appears to be barricaded from the other side,Esta porta parece estar barricada pelo outro lado
It cannot be opened from this side,Nao pode ser aberta por este lado
Barred Door,Porta de Grades
Inn Door,Porta da Estalagem
Portal,Portal
Web,Teia
The web of some giant arachnid,A teia de alguma aracnídeo gigante
#Inspectables,#Inspecionáveis
The piece of paper seems to contain a work order,O pedaço de papel parece conter uma ordem de trabalho
"and as can clearly be observed, the tunnel’s support pillar is close to giving in","e como se pode observar claramente, o pilar de sustentação do túnel está prestes a ceder"
"If this last piece of support was to be removed, it is highly likely that the tunnel would collapse completely","Se esta última peça de sustentação fosse removida, é muito provável que o túnel desabasse completamente"
continue the previous day’s work of expanding the tunnel eastwards,continuar o trabalho do dia anterior de expansão do túnel em direção ao leste
I believe you should be very close to breaking through,Acredito que você deve estar muito perto de abrir caminho
Doing so will allow us to create a short-cut to the mine’s entrance and I don’t need to tell you how much this would improve logistics,Fazer isso nos permitirá criar um atalho para a entrada da mina e não preciso lhe dizer o quanto isso melhoraria a logística
Barricade,Barricada
A barricade constructed from debris blocks this path,Uma barricada construída com destroços bloqueia este caminho
It is too large to dismantle before retaking the city and for now you must find some way around it,Ela é grande demais para ser desmontada antes de retomar a cidade e por enquanto você deve encontrar outra maneira de contorná-la
Cave In,Desmoronamento
A portion of the cave has collapsed behind you,Uma parte da caverna desmoronou atrás de você
There is no going back this way,Não há como voltar por este caminho
Spider Corpse,Cadáver de Aranha
The mauled corpse of a giant spider,O cadáver mutilado de uma aranha gigante
Grave,Tumba
A fresh grave with a simple marker made of sticks,Uma tumba recente com um marcador simples feito de gravetos
No name can be found upon it,Nenhum nome pode ser encontrado nela
The corpse belongs to a graying old man,O cadáver pertence a um homem idoso de cabelos grisalhos
His face is serene and there is nothing to indicate he did not die of natural causes,Seu rosto está sereno e não há nada que indique que ele não tenha morrido de causas naturais
"Leaning over the body however, you spot thin strands of some bizarre purplish fungal growth protruding from the man's mouth and nose","Inclinando-se sobre o corpo, no entanto, você nota filamentos finos de um crescimento fúngico roxo bizarro projetando-se da boca e do nariz do homem"
"Strange vines of some unknown, purplish growth bursts forth from the masonry","Vinhas estranhas de um crescimento roxo desconhecido brotam da alvenaria"
"As you lean in, fine strands reach greedily towards you","Conforme você se aproxima, filamentos finos se estendem gananciosamente em sua direção"
You recoil in disgust and decide it’s best to not touch the growths,Você recua com nojo e decide que é melhor não tocar nos crescimentos
Dead Body,Cadáver
A body lies broken upon the ground,Um corpo jaz estraçalhado no chão
"Though it has been gnawed by hounds, it seems clear that this person fell or jumped from the cliffs above","Embora tenha sido roído por cães, parece claro que esta pessoa caiu ou pulou dos penhascos acima"
Old Crates,Caixotes Velhos
Old and ruined shipping crates litter this part of the cave,Caixotes de carga velhos e arruinados espalham-se por esta parte da caverna
Only smugglers would use a place like this to store their goods,Apenas contrabandistas usariam um lugar como este para armazenar suas mercadorias
"Perhaps there are other, similar caches to be found on the Outer Isles?","Talvez existam outros esconderijos semelhantes a serem encontrados nas Ilhas Exteriores?"
A Note,Um Bilhete
A note is scrawled in crude letters,Um bilhete está rascunhado com letras grosseiras
Kook!,Maluco!
I cannot stand another meal of Salted Fish!,Não aguento mais outra refeição de Peixe Salgado!
"There is a limet to how long a man can live on salt, potatoes and perklin","Existe um limite para o tempo que um homem pode viver de sal, batatas e perklin"
"Take head, or git a dagger in the eye ye cheap basterd","Fique esperto, ou vai levar uma adaga no olho, seu bastardo pão-duro"
Strange Jar,Jarra Estranha
An oddly shaped container of some unknown design,Um recipiente de formato estranho com um design desconhecido
"The surface is smooth and metallic, but not of a material you recognize","A superfície é lisa e metálica, mas não de um material que você reconheça"
"Though the artifact is without a scratch, it still somehow conveys impossible age","Embora o artefato não tenha um único arranhão, ele ainda assim transmite uma antiguidade impossível"
Librarian’s Journal,Diário do Bibliotecário
A book lies open on the librarian’s desk,Um livro está aberto na escrivaninha do bibliotecário
"Brother Auran has once again made off with the key to the forbidden section, claiming it is ‘much more convenient for both me and him’ that he keeps it for the duration of his studies","O Irmão Auran mais uma vez sumiu com a chave da seção proibida, alegando que é 'muito mais conveniente tanto para mim quanto para ele' que ele a mantenha durante o período de seus estudos"
He’s assured me it’s well hidden in his study in the eastern tower whilst not in use,Ele me garantiu que ela está bem escondida em seu estúdio na torre leste enquanto não estiver em uso
Bloody fool,Tolo maldito
I’ll need to send lay-brother Theo to recover it next time Auran is sleeping,Precisarei enviar o irmão leigo Theo para recuperá-la na próxima vez que Auran estiver dormindo
Sea-Caves,Cavernas Marítimas
