original,original
#Backgrounds,#Antecedentes
Acolyte,Acolito
You claim a connection with the divine that goes far deeper than most,Voce afirma ter uma conexao com o divino que vai muito mais fundo do que a maioria
"Whether legitimate of not, you’re always ready to dispense holy wisdom; Be it Imperial gospel or the profane ramblings of the heretic","Seja legitimo ou nao, voce sempre esta pronto para dispensar a sabedoria sagrada; seja o evangelho imperial ou os delirios profanos do herege"
Thug,Capanga
"Punch first, ask questions later","Soca primeiro, pergunta depois"
You have perfected the noble art of solving problems with brute force,Voce aperfeicoou a nobre arte de resolver problemas com forca bruta
Courtier,Cortesao
Your time spent kissing noble arses has made you a master of navigating the cut-throat politics of the Imperial lay-courts,Seu tempo passado bajulando nobres tornou voce um mestre em navegar pela politica cruel das cortes laicas imperiais
Criminal,Criminoso
You are an esteemed member of the Empire’s teeming underworld with a special knack for getting in and out of places you shouldn’t be,Voce e um membro estimado do submundo fervilhante do Imperio com um dom especial para entrar e sair de lugares onde nao deveria estar
Fortune's Fool,Tolo da Fortuna
Deluxe Edition class,Classe da Edicao de Luxo
You have unnaturally good luck and seem to find much more gold than others after combat,Voce tem uma sorte fora do comum e parece encontrar muito mais ouro do que os outros apos o combate
Savant,Sabio
You’re a very fast learner and advance more rapidly through levels,Voce aprende muito rapidamente e avanca de nivel mais depressa
Scout,Explorador
You’re remarkably fleet of foot,Voce e notavelmente agil de pes
Entertainer,Artista
"In equal parts despised and adored by the wealthy of the Empire, the traveling entertainer can make a pretty penny off their blinding charisma and nimble fingers","Em partes iguais desprezado e adorado pelos ricos do Imperio, o artista viajante pode lucrar bastante com seu carisma impressionante e dedos ageis"
Guilder,Membro da Guilda
"Like so many of the Empires young and promising, you were recruited into guild service at a fairly early age","Como tantos jovens promissores do Imperio, voce foi recrutado para o servico da guilda em uma idade bem precoce"
"As the saying goes, work for the illustrious guilds tends to leave you with 'gold in your purse and blood on your hands'","Como diz o ditado, o trabalho para as ilustres guildas tende a deixar voce com 'ouro na bolsa e sangue nas maos'"
Laborer,Trabalhador
You’ve spent years toiling under the oppressive yoke of hard labor,Voce passou anos trabalhando sob o jugo opressor do trabalho pesado
"Though it may not have left you with much coin in your pocket, it has given you an unnatural resistance to hardship","Embora isso possa nao ter deixado muitas moedas no seu bolso, deu a voce uma resistencia incomum as adversidades"
Ex-Legionary,Ex-Legionario
A member of the ‘old breed’,Um membro da 'velha linhagem'
You now belong to the ever-growing fraternity of fellow men and women with scarred bodies and broken minds who roam the Empire in search for a quiet piece of land to call home,Voce agora pertence a fraternidade em constante crescimento de homens e mulheres com corpos cheios de cicatrizes e mentes quebradas que vagam pelo Imperio em busca de um pedaco de terra tranquilo para chamar de lar
Sellsword,Mercenario
"With the once-mighty legions of the Empire in decline, this is an age of sellswords and mercenaries","Com as outrora poderosas legioes do Imperio em declinio, esta e uma era de mercenarios e soldados de aluguel"
There is no shortage of those willing to pay professionals to wreak violence on others and you are very good at your job,Nao faltam pessoas dispostas a pagar profissionais para exercer violencia sobre os outros e voce e muito bom no seu trabalho
Monastic,Monastico
You have served one of the holy orders of the Empire from the safety of one of its walled monastic communities,Voce serviu a uma das ordens sagradas do Imperio a partir da seguranca de uma de suas comunidades monasticas muradas
