Original,translation
#Accessory,#Acessorio
Armored Boots,Botas Blindadas
Masterwork Armored Boots,Botas Blindadas Obra-Prima
Noble's Boots,Botas de Nobre
Masterwork Noble's Boots,Botas de Nobre Obra-Prima
Leather Boots,Botas de Couro
Masterwork Leather Boots,Botas de Couro Obra-Prima
Travelers Boots,Botas de Viajante
Masterwork Travelers Boots,Botas de Viajante Obra-Prima
The Farstriders,Os Viajantes de Longa Distancia
"These legendary boots increase the Carrying Capacity of the wearer by 30 lb as well as conferring a +1 bonus to their Fortitude","Botas lendarias que aumentam Cap. Carga em 30 lb e dao bonus +1 em Fortitude"
The Tyrant,O Tirano
This helmet increases the user’s Awareness and Spell Aptitude by +1,Este capacete aumenta Percepcao e Aptidao de Magia em +1
Armored Gauntlets,Manoplas Blindadas
Masterwork Armored Gauntlets,Manoplas Blindadas Obra-Prima
Noble's Gloves,Luvas de Nobre
Masterwork Noble's Gloves,Luvas de Nobre Obra-Prima
Leather Gloves,Luvas de Couro
Masterwork Leather Gloves,Luvas de Couro Obra-Prima
Mailed Gauntlets,Manoplas de Malha
Masterwork Mailed Gauntlets,Manoplas de Malha Obra-Prima
Travelers Gloves,Luvas de Viajante
Masterwork Travelers Gloves,Luvas de Viajante Obra-Prima
Headwear,Capacetes e Chapeus
Hat,Chapeu
Bonnet,Boina
Leather Coif,Coifa de Couro
Rag,Trapo
Hood,Capuz
Antlers,Chifres
Reaver Crown,Coroa do Saqueador
"A wide-brimmed, felt hat",Um chapeu de feltro de aba larga
"It is quite stylish but offers little protection","E bem estiloso, mas oferece pouca protecao"
Wreath,Guirlanda
Mail Coif,Coifa de Malha
Coif and Helmet,Coifa e Capacete
Masterwork Mail Coif,Coifa de Malha Obra-Prima
Full Helmet,Capacete Fechado
Masterwork Full Helmet,Capacete Fechado Obra-Prima
Horned Helmet,Capacete com Chifres
Masterwork Horned Helmet,Capacete com Chifres Obra-Prima
Steel Helmet,Capacete de Aco
Masterwork Steel Helmet,Capacete de Aco Obra-Prima
Plumed Helmet,Capacete Plumado
Masterwork Plumed Helmet,Capacete Plumado Obra-Prima
Round Helmet,Capacete Redondo
Soldier's Helmet,Capacete de Soldado
Officer's Helmet,Capacete de Oficial
Jester's Cap,Chapeu de Bobo da Corte
#Adventuring Items,#Itens de Aventura
Crowbar,Pe-de-cabra
An iron crowbar,Um pe-de-cabra de ferro
Perfect for breaking and entering,Perfeito para arrombamento e invasao
Lantern,Lanterna
A small lantern,Uma lanterna pequena
Press 'T' to equip it whilst exploring,Pressione 'T' para equipar ao explorar
Thieves' Tools,Ferramentas de Ladrao
Tools used for lockpicking,Ferramentas para abrir fechaduras
"You lose a few each time you pick a lock so take care to gather a supply","Voce perde algumas ao abrir trancas, junte um estoque"
Pickaxe,Picareta
A pickeaxe used for mining,Uma picareta usada para mineracao
In the right hands it could be used as a weapon,Nas maos certas pode ser usada como arma
Rope,Corda
A 20-foot coil of hemp rope,Corda de canhamo de 20 pes
Indispensable for spelunkers and mountaineers,Indispensavel para exploradores e montanhistas
Sewer Map,Mapa do Esgoto
A hand-drawn map depicting the sewers underneath Horryn,Mapa desenhado a mao dos esgotos sob Horryn
Shovel,Pa
Used for digging in the ground!,Usada para cavar o chao!
#Ammo,#Municao
Bodkin Arrow,Flecha Perfurante
Broadhead Arrow,Flecha de Ponta Larga
Fire Arrow,Flecha de Fogo
Hunting Arrow,Flecha de Caca
Poison Arrow,Flecha Envenenada
Poor Arrow,Flecha Ruim
#Armors,#Armaduras
Light Armor,Armadura Leve
Medium Armor,Armadura Media
Heavy Armor,Armadura Pesada
Breastplate,Couraca
Fine Breastplate,Couraca Fina
Masterwork Breastplate,Couraca Obra-Prima
Poor Breastplate,Couraca Ruim
Chainmail,Cota de Malha
Fine Chainmail,Cota de Malha Fina
Masterwork Chainmail,Cota de Malha Obra-Prima
Poor Chainmail,Cota de Malha Ruim
The Second Chance,A Segunda Chance
Adds the following triggered ability,Adiciona a seguinte habilidade gatilho
"The first time you take Wound Damage each combat, you automatically regain 30-40 Vitality Hit Points","A primeira vez que sofrer Dano de Ferimento em combate, voce recupera 30-40 PV de Vitalidade"
Full Plate,Placa Completa
Fine Fullplate,Placa Completa Fina
Masterwork Fullplate,Placa Completa Obra-Prima
Poor Fullplate,Placa Completa Ruim
Half Plate,Meia-Placa
Ancient Halfplate,Meia-Placa Antiga
Fine Halfplate,Meia-Placa Fina
Masterwork Halfplate,Meia-Placa Obra-Prima
Poor Halfplate,Meia-Placa Ruim
The Rat Queen's Armor,Armadura da Rainha Rata
Leather Armor,Armadura de Couro
Fine Leather Armor,Armadura de Couro Fino
Masterwork Leather Armor,Armadura de Couro Obra-Prima
Poor Leather Armor,Armadura de Couro Ruim
Padded Armor,Armadura Acolchoada
Fine Padded Armor,Armadura Acolchoada Fina
Masterwork Padded Armor,Armadura Acolchoada Obra-Prima
Poor Padded Armor,Armadura Acolchoada Ruim
Scalemail,Cota de Escamas
Fine Scalemail,Cota de Escamas Fina
Masterwork Scalemail,Cota de Escamas Obra-Prima
Poor Scalemail,Cota de Escamas Ruim
Studded Leather,Couro Batido
Fine Studded Leather,Couro Batido Fino
Masterwork Studded Leather,Couro Batido Obra-Prima
Poor Studded Leather,Couro Batido Ruim
#Books,#Livros
Astronomer's Journal,Diario do Astronomo
"A small, well-used journal",Um diario pequeno e muito usado
The journal contains a large amount of tabulated data that appears to be astrological in nature interspersed with notes,O diario contem muitos dados tabulados de natureza astrologica misturados com notas
The final entries appear to have been made only days before your arrival,As ultimas notas parecem ter sido feitas dias antes da sua chegada
Observed strange dancing lights in the sky,Luzes dancantes estranhas observadas no ceu
Not unlike those sailors to the far south describe near polar regions yet somehow different,Parecidas com as que os marinheiros do extremo sul descrevem perto das regioes polares mas diferentes
Colors indescribable - Mesmerizing,Cores indescritiveis - Fascinantes
For a fleeting moment I even thought I heard a sound,Por um breve momento achei ter ouvido um som
Somewhere between a deep wail and singing,Algo entre um lamento profundo e um canto
Could not perform observations tonight,Nao foi possivel fazer observacoes esta noite
Charts or instruments are off and I cannot make sense of the sky,Os mapas ou instrumentos estao desregulados e nao compreendo o ceu
There are bodies there,Existem corpos la
Bodies that are alien to me,Corpos que sao estranhos para mim
It must be some form of comet storm or some other extraordinary astronomical event that has not been predicted in the Imperial Charts,Deve ser uma tempestade de cometas ou outro evento astronomico raro nao previsto nos Mapas Imperiais
They are wrong!,Eles estao errados!
I have done the calculations over and over and I come to the same conclusion,Fiz os calculos repetidamente e chego a mesma conclusao
"The stars are wrong - in so many ways!","As estrelas estao erradas - de muitas maneiras!"
"As I observed an alien cluster in the southeastern quadrant, it dawned on me with absolute certainty","Ao observar um aglomerado estranho no quadrante sudeste, percebi com certeza absoluta"
"I am not watching them - they are watching me","Nao estou olhando para eles - eles estao olhando para mim"
"I dread to look again yet I feel compelled to do so","Tenho pavor de olhar de novo, mas me sinto forcado a isso"
They beckon me,Eles acenam para mim
I am certain that if I look again into that dreadful cluster in the southeastern quadrant I shall be undone,Se eu olhar de novo para aquele aglomerado terrivel no quadrante sudeste estarei perdido
Yet there are answers there,Mas existem respostas la
Deeper and more profound than any mortal mind can comprehend,Mais profundas do que qualquer mente mortal possa compreender
I believe I shall look again,Acho que vou olhar de novo
I must,Eu devo
Origins of the Legionnaire’s Rest,Origens do Descanso do Legionario
"A small, generic book of lore",Um livro pequeno e generico de historia
Fawlon’s Treatise on the Origins of Imperial Fauna Excerpt,Trecho do Tratado de Fawlon sobre as Origens da Fauna Imperial
Legionnaire’s Rest,Descanso do Legionario
"Records state the battle of Diagolo pass raged for 3 days, and when it was over, more lives had been lost than saved","Registros dizem que a batalha de Diagolo durou 3 dias e mais vidas foram perdidas do que salvas"
"It was a time of great sorrow, but from this calamity, new life blossomed","Foi um tempo de grande tristeza, mas desta calamidade brotou nova vida"
For from the soil beneath which the lost legions lay an abundance of crimson red flowers sprouted forth,Pois do solo onde as legioes perdidas descansavam brotaram varias flores vermelhas carmesi
"Flowers that, it is said, will only grow upon the graves of those fallen in battle","Flores que, segundo dizem, so crescem nos tumulos dos caidos em batalha"
Folk Poetry of the North,Poesia Popular do Norte
Volume,Vol.
THE RIVEMAN'S RHYME,A RIMA DO HOMEM DO RIO
"To the river I will go,","Ao rio eu irei"
"To soothe a heart that’s full of woe,","Para acalmar um coracao cheio de dor"
For in the water’s cool embrace,Pois no abraco fresco da agua
My true self I will face,Meu verdadeiro eu enfrentarei
FOLK LITANY OF THE DEAD,LITANIA POPULAR DOS MORTOS
"Bathe the flesh,","Banhe a carne"
Mend the bone,Repare o osso
"Then lay the body,","Depois deite o corpo"
Beneath the stone,Debaixo da pedra
AN ODE TO THE POTATO,UMA ODE A BATATA
"Oh, how blessed we’ll be,","Oh, quao abencoados seremos"
"To taste your earthy bliss,","Para provar seu prazer terreno"
When we have sown our fields,Quando tivermos semeado nossos campos
And planted your seeds,E plantado suas sementes
And awaited rain’s gentle kiss,E esperado pelo beijo suave da chuva
Postscript,Pos-escrito
"For context and comaprison, I have taken the opportunity of adding the transcript of a fruit farmer's tirade to the local magistrate on the issue of the potatoe-related agricultural reforms","Para contexto e comparacao, aproveitei para adicionar a transcricao do desabafo de um fruticultor ao magistrado local sobre as reformas agricolas da batata"
If I receive one more decree commanding me to re-sow my fruit orchards into bloody potato fields!,Se eu receber mais um decreto mandando semear meus pomares em malditos campos de batata!
I’m going to send him a bag full of my ripest manure!,Vou mandar para ele um saco cheio do meu esterco mais estragado!
